id,year_born,gender,industry,industry_d,occupation,occupation_d,organisation_size,manage_people,household,how_long,m_r,time_last_year1,think_last_year1,think_last_year2,think_last_year3,think_last_year4,think_last_year5,think_last_year6,prefer_last_year,time_last_year2,think_last_months1,think_last_months2,think_last_months3,think_last_months4,think_last_months5,think_last_months6,prefer_last_months,prefer_post_covid,cured1,cured2,cured3,productive,time_workplace1,time_workplace2,time_workplace3,time_workplace4,time_remote1,time_remote2,time_remote3,time_remote4,most_barrier1,least_barrier1,most_barrier2,least_barrier2,most_barrier3,least_barrier3,most_barrier4,least_barrier4,most_barrier5,least_barrier5,most_barrier6,least_barrier6,most_barrier7,least_barrier7,most_barrier8,least_barrier8,most_barrier9,least_barrier9,most_barrier10,least_barrier10,best_remote1,worst_remote1,best_remote2,worst_remote2,best_remote3,worst_remote3,best_remote4,worst_remote4,best_remote5,worst_remote5,best_remote6,worst_remote6,time_remote_last_year,time_preferred_remote_last_year,time_remote_last_months,time_preferred_remote_last_months,time_preferred_postcovid,productivity,diff_last_year,diff_last_months,diff_post_covid,tlm_1,tlm_2,tlm_3,tlm_4,tlm_5,tlm_6,tly_1,tly_2,tly_3,tly_4,tly_5,tly_6,cur_1,cur_2,cur_3,most_barrier,least_barrier,best_remote,worst_remote,index_p,index_p20
707,1965,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",More than 200,Yes,Couple with dependent children,More than 5 years,Metro,80%,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,60%,90%,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,80%,60%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Im 40% more productive when working remotely,4.0,9.0,3.0,2.0,0.0,13.0,3.0,2.0,Connectivity (internet connection),Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Lack of motivation,Difficulty collaborating remotely,I have tasks that can't be done remotely,My organisation's software and systems,Caring responsibilities,Difficulty collaborating remotely,Management discourages remote working,My organisation's software and systems,Lack of motivation,Lack of motivation,Lack of motivation,My organisation's software and systems,Preparing for work and commuting,The number of hours  I work,Preparing for work and commuting,Managing my personal commitments,Preparing for work and commuting,My personal relationships,My on-the-job learning opportunities,The number of hours  I work,My on-the-job learning opportunities,The number of hours  I work,My job satisfaction,My daily expenses,80,60,90,80,60,40,20,10,-30,1.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0,0,2,Connectivity (internet connection),Feeling left out and/or isolated,Preparing for work and commuting,The number of hours  I work,-15.0,-15.0
708,1988,Male,Accommodation and Food Services,Accommodation,Sales ,Representantes y Agentes de Ventas,Between 1 and 4,No,Group household,Between 1 and 5 years,Metro,70%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,50% - About half of my time,90%,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,70%,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1.0,6.0,4.0,3.0,0.0,7.0,3.0,3.0,Caring responsibilities,Feeling left out and/or isolated,Feeling left out and/or isolated,Poor management,I have tasks that can't be done remotely,Poor management,"My living situation (e.g. location, home size, who I live with)",Poor management,Lack of motivation,Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",Caring responsibilities,"My living situation (e.g. location, home size, who I live with)",Lack of remote working skills,Caring responsibilities,Lack of motivation,Lack of motivation,Lack of motivation,Lack of motivation,Lack of remote working skills,My work-life balance,Preparing for work and commuting,My mental wellbeing,Preparing for work and commuting,My working relationships,Preparing for work and commuting,My work-life balance,My opportunities to socialise,My work-life balance,My on-the-job learning opportunities,My job satisfaction,My mental wellbeing,70,50,90,70,50,0,20,20,-40,1.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1,1,1,Lack of motivation,Poor management,My work-life balance,Preparing for work and commuting,-20.0,-20.0
709,1990,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Profesionales de Negocios, Recursos Humanos y Marketing",More than 200,No,Group household,Between 1 and 5 years,Metro,80%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,80%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,80%,60%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,1.0,8.0,3.0,2.0,0.0,8.0,4.0,2.0,Feeling left out and/or isolated,"IT equipment (computer, printer, etc.)",Feeling left out and/or isolated,Lack of motivation,Feeling left out and/or isolated,I have tasks that can't be done remotely,Feeling left out and/or isolated,"My living situation (e.g. location, home size, who I live with)",Difficulty collaborating remotely,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",I have tasks that can't be done remotely,"My living situation (e.g. location, home size, who I live with)","IT equipment (computer, printer, etc.)","My living situation (e.g. location, home size, who I live with)",Lack of motivation,Cyber security,Lack of motivation,Lack of motivation,"My living situation (e.g. location, home size, who I live with)",My work-life balance,My on-the-job learning opportunities,Managing my personal commitments,My opportunities to socialise,My job satisfaction,My working relationships,My work-life balance,My opportunities to socialise,My work-life balance,My on-the-job learning opportunities,My job satisfaction,My opportunities to socialise,80,50,80,80,60,0,30,0,-20,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,Feeling left out and/or isolated,Lack of motivation,My work-life balance,My opportunities to socialise,-15.0,-15.0
710,1988,Male,Financial and Insurance Services,Insurance and Superannuation Funds,Managers,Gerentes Especialistas,More than 200,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,30%,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,50% - About half of my time,80%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,60%,50% - About half of my time,Strongly agree,Somewhat agree,Somewhat agree,Im 20% less productive when working remotely,1.0,9.0,4.0,1.0,0.5,9.0,5.0,1.0,Difficulty collaborating remotely,Caring responsibilities,Feeling left out and/or isolated,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Connectivity (internet connection),"My living situation (e.g. location, home size, who I live with)",Management discourages remote working,Difficulty collaborating remotely,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Caring responsibilities,"My living situation (e.g. location, home size, who I live with)",Caring responsibilities,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Lack of motivation,"My living situation (e.g. location, home size, who I live with)",Lack of remote working skills,My work-life balance,My on-the-job learning opportunities,Preparing for work and commuting,My opportunities to socialise,Preparing for work and commuting,My personal relationships,The number of hours  I work,My opportunities to socialise,My work-life balance,My personal relationships,My daily expenses,My opportunities to socialise,30,50,80,60,50,-20,-20,20,-30,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2,1,1,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,My work-life balance,My opportunities to socialise,0.0,0.0
711,1985,Male,"Electricity, Gas, Water and Waste Services","Waste Collection, Treatment and Disposal Services",Professionals,"Profesionales de Negocios, Recursos Humanos y Marketing",Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,50% - I spent about half of my time remote working,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,50% - About half of my time,70%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,50% - About half of my time,50% - About half of my time,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Im 30% more productive when working remotely,1.0,5.0,1.0,4.0,2.0,1.0,4.0,1.0,Difficulty collaborating remotely,Connectivity (internet connection),Lack of motivation,Connectivity (internet connection),I have tasks that can't be done remotely,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)","My living situation (e.g. location, home size, who I live with)",Connectivity (internet connection),Lack of motivation,"IT equipment (computer, printer, etc.)","My workspace (e.g. suitable chair, lighting, noise levels, facilities)",I have tasks that can't be done remotely,Lack of remote working skills,"My living situation (e.g. location, home size, who I live with)",Management discourages remote working,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)","My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Lack of remote working skills,Management discourages remote working,"My living situation (e.g. location, home size, who I live with)",My on-the-job learning opportunities,The number of hours  I work,My mental wellbeing,My opportunities to socialise,My job satisfaction,My daily expenses,My mental wellbeing,Managing my personal commitments,My job satisfaction,My daily expenses,My personal relationships,Managing my personal commitments,50,50,70,50,50,30,0,20,-20,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0,-1,0,Lack of motivation,Connectivity (internet connection),My mental wellbeing,My daily expenses,-10.0,-10.0
712,1957,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Profesionales de Negocios, Recursos Humanos y Marketing",I am the only employee,No,Couple with no dependent children,More than 5 years,Regional,20%,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,20%,Rarely or never ,,,,,,,20%,20%,Neither agree nor disagree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1.0,8.0,4.0,1.0,0.0,10.0,3.0,0.0,Connectivity (internet connection),Poor management,Cyber security,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Poor management,Management discourages remote working,Poor management,Cyber security,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",I have tasks that can't be done remotely,Management discourages remote working,"IT equipment (computer, printer, etc.)","IT equipment (computer, printer, etc.)",Lack of motivation,Cyber security,Lack of motivation,Lack of motivation,Lack of remote working skills,My on-the-job learning opportunities,The number of hours  I work,My opportunities to socialise,Managing my personal commitments,My job satisfaction,My working relationships,My on-the-job learning opportunities,Managing my personal commitments,My on-the-job learning opportunities,The number of hours  I work,My job satisfaction,My daily expenses,20,20,0,20,20,0,0,-20,20,,,,,,,0.0,2.0,1.0,0.0,2.0,1.0,0,1,1,Cyber security,Lack of motivation,My on-the-job learning opportunities,The number of hours  I work,10.0,10.0
713,1987,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Profesionales de Negocios, Recursos Humanos y Marketing",Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,50% - About half of my time,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,100% - All of my time,50% - About half of my time,Somewhat agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,1.0,9.0,8.0,6.0,0.0,9.0,9.0,6.0,Poor management,Feeling left out and/or isolated,Poor management,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Feeling left out and/or isolated,Poor management,Feeling left out and/or isolated,Lack of motivation,Lack of motivation,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Lack of motivation,My organisation's software and systems,Lack of motivation,Lack of motivation,"My living situation (e.g. location, home size, who I live with)",My work-life balance,My working relationships,Managing my personal commitments,My working relationships,Preparing for work and commuting,My working relationships,My work-life balance,The number of hours  I work,My work-life balance,The number of hours  I work,My daily expenses,Managing my personal commitments,10,50,100,100,50,0,-40,0,-50,2.0,1.0,2.0,2.0,1.0,1.0,-2.0,-1.0,-1.0,0.0,1.0,1.0,1,2,2,Poor management,Lack of motivation,My work-life balance,My working relationships,20.0,20.0
714,1989,Male,Financial and Insurance Services,Finance,Managers,Gerentes Especialistas,More than 200,No,Couple with dependent children,More than 5 years,Metro,20%,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,40%,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,90%,90%,Somewhat agree,Strongly agree,Strongly agree,Im 20% more productive when working remotely,2.0,7.5,0.0,0.0,0.0,7.5,0.5,0.5,Feeling left out and/or isolated,Caring responsibilities,Feeling left out and/or isolated,Lack of motivation,Feeling left out and/or isolated,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Feeling left out and/or isolated,Management discourages remote working,Lack of motivation,Lack of motivation,Difficulty collaborating remotely,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Difficulty collaborating remotely,Management discourages remote working,Difficulty collaborating remotely,Lack of motivation,Lack of motivation,Lack of motivation,Lack of motivation,Management discourages remote working,Managing my family responsibilities,My working relationships,Managing my family responsibilities,My working relationships,Preparing for work and commuting,My working relationships,My work-life balance,My on-the-job learning opportunities,My work-life balance,My on-the-job learning opportunities,Managing my personal commitments,My opportunities to socialise,20,40,100,90,90,20,-20,10,-10,2.0,1.0,2.0,2.0,1.0,1.0,-1.0,1.0,1.0,0.0,-1.0,1.0,1,2,2,Feeling left out and/or isolated,Lack of motivation,Managing my family responsibilities,My working relationships,5.0,5.0
715,1986,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Between 20 and 199,No,Couple with no dependent children,Between 6 and 12 months,Metro,50% - I spent about half of my time remote working,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,50% - About half of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,80%,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1.0,7.0,4.0,2.0,0.0,7.5,5.0,2.0,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Feeling left out and/or isolated,My organisation's software and systems,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Connectivity (internet connection),Lack of remote working skills,"IT equipment (computer, printer, etc.)",Caring responsibilities,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",Management discourages remote working,Lack of remote working skills,Lack of motivation,Lack of motivation,Lack of remote working skills,Cyber security,Lack of remote working skills,Managing my family responsibilities,My working relationships,Managing my personal commitments,My working relationships,Preparing for work and commuting,My working relationships,My work-life balance,My opportunities to socialise,My work-life balance,My on-the-job learning opportunities,Managing my personal commitments,My opportunities to socialise,50,50,100,100,80,0,0,0,-20,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1,1,1,Connectivity (internet connection),Lack of remote working skills,Managing my personal commitments,My working relationships,0.0,0.0
716,1958,Male,Financial and Insurance Services,Finance,Managers,Gerentes Especialistas,More than 200,No,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Less than 10% of my time,Less than 10% of my time,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Less than 10% of my time,Less than 10% of my time,Somewhat agree,Somewhat agree,Somewhat agree,Im 20% less productive when working remotely,0.5,8.0,4.0,1.0,0.0,12.0,2.0,1.0,"IT equipment (computer, printer, etc.)",Caring responsibilities,Feeling left out and/or isolated,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Connectivity (internet connection),"My living situation (e.g. location, home size, who I live with)",Connectivity (internet connection),"IT equipment (computer, printer, etc.)",Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Caring responsibilities,"IT equipment (computer, printer, etc.)",Management discourages remote working,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,My organisation's software and systems,Lack of motivation,Lack of motivation,Management discourages remote working,Preparing for work and commuting,The number of hours  I work,My opportunities to socialise,Preparing for work and commuting,Preparing for work and commuting,My working relationships,Managing my personal commitments,My opportunities to socialise,My daily expenses,The number of hours  I work,My daily expenses,My mental wellbeing,10,10,10,10,10,-20,0,0,0,2.0,2.0,2.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,1,1,1,"IT equipment (computer, printer, etc.)",Lack of motivation,Preparing for work and commuting,The number of hours  I work,0.0,0.0
717,1991,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",More than 200,No,Couple with no dependent children,More than 5 years,Metro,Rarely or never ,,,,,,,50% - About half of my time,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,100% - All of my time,50% - About half of my time,Strongly disagree,Strongly disagree,Strongly disagree,My productivity is about same when I work remotely,1.0,8.0,2.0,1.0,0.0,8.0,4.0,1.0,Poor management,Connectivity (internet connection),Poor management,Connectivity (internet connection),Poor management,Connectivity (internet connection),Poor management,Connectivity (internet connection),Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",My organisation's software and systems,"IT equipment (computer, printer, etc.)",Management discourages remote working,"IT equipment (computer, printer, etc.)",Lack of remote working skills,Lack of motivation,I have tasks that can't be done remotely,Lack of motivation,Management discourages remote working,"My living situation (e.g. location, home size, who I live with)",My work-life balance,My on-the-job learning opportunities,Preparing for work and commuting,My opportunities to socialise,My job satisfaction,My personal relationships,My work-life balance,My opportunities to socialise,My work-life balance,My job satisfaction,Managing my personal commitments,My opportunities to socialise,0,50,100,100,50,0,-50,0,-50,2.0,1.0,1.0,2.0,1.0,0.0,,,,,,,-2,-2,-2,Poor management,Connectivity (internet connection),My work-life balance,My opportunities to socialise,25.0,25.0
718,1963,Male,Retail Trade,Motor Vehicle and Motor Vehicle Parts Retailing,Managers,"Gerentes de Hospitalidad, Retail y Servicios",More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,Less than 10% of my time,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,20%,20%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,20%,10%,Strongly disagree,Strongly disagree,Strongly disagree,My productivity is about same when I work remotely,1.0,6.0,2.0,0.0,1.0,6.0,2.0,0.0,"IT equipment (computer, printer, etc.)",Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,I have tasks that can't be done remotely,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,"IT equipment (computer, printer, etc.)",Caring responsibilities,I have tasks that can't be done remotely,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)","IT equipment (computer, printer, etc.)","My living situation (e.g. location, home size, who I live with)",Management discourages remote working,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Cyber security,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",My work-life balance,Preparing for work and commuting,My mental wellbeing,Preparing for work and commuting,My job satisfaction,My working relationships,My on-the-job learning opportunities,My work-life balance,My on-the-job learning opportunities,My work-life balance,My job satisfaction,My opportunities to socialise,10,20,20,20,10,0,-10,0,-10,1.0,0.0,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,-2,-2,-2,"IT equipment (computer, printer, etc.)",Feeling left out and/or isolated,My job satisfaction,Preparing for work and commuting,5.0,5.0
719,1987,Female,Information Media and Telecommunications,Publishing (except Internet and Music Publishing),Managers,"Directores Ejecutivos, Gerentes Generales y Legisladores",More than 200,Yes,Single person,Between 1 and 5 years,Metro,Less than 10% of my time,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,50% - About half of my time,80%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,90%,70%,Somewhat agree,Somewhat agree,Somewhat agree,Im 40% more productive when working remotely,3.0,10.0,3.0,2.0,0.5,10.0,3.0,2.0,Feeling left out and/or isolated,Poor management,Feeling left out and/or isolated,Lack of motivation,Feeling left out and/or isolated,Poor management,Feeling left out and/or isolated,Poor management,Lack of motivation,Lack of motivation,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Lack of remote working skills,Difficulty collaborating remotely,Lack of motivation,Lack of motivation,Lack of motivation,Lack of motivation,Lack of remote working skills,Preparing for work and commuting,The number of hours  I work,Preparing for work and commuting,My mental wellbeing,Preparing for work and commuting,My job satisfaction,Managing my personal commitments,The number of hours  I work,My daily expenses,The number of hours  I work,My daily expenses,My mental wellbeing,10,50,80,90,70,40,-40,-10,-10,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1,1,1,Feeling left out and/or isolated,Lack of motivation,Preparing for work and commuting,The number of hours  I work,25.0,25.0
720,1963,Male,Education and Training,Tertiary Education,Managers,Gerentes Especialistas,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,Less than 10% of my time,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,20%,90%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,90%,50% - About half of my time,Somewhat disagree,Somewhat agree,Somewhat agree,Im 20% more productive when working remotely,2.0,8.0,4.0,3.0,0.5,8.0,6.0,2.0,Poor management,Feeling left out and/or isolated,Poor management,Connectivity (internet connection),Poor management,Connectivity (internet connection),Poor management,Connectivity (internet connection),Lack of motivation,Caring responsibilities,My organisation's software and systems,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,Caring responsibilities,"IT equipment (computer, printer, etc.)",Lack of motivation,Lack of motivation,Lack of motivation,Lack of motivation,Lack of remote working skills,My work-life balance,My on-the-job learning opportunities,Preparing for work and commuting,My opportunities to socialise,Preparing for work and commuting,My working relationships,My work-life balance,My opportunities to socialise,My work-life balance,My on-the-job learning opportunities,My daily expenses,My opportunities to socialise,10,20,90,90,50,20,-10,0,-40,2.0,1.0,2.0,2.0,2.0,2.0,-2.0,1.0,-1.0,-1.0,-1.0,0.0,-1,1,1,Poor management,Connectivity (internet connection),My work-life balance,My opportunities to socialise,5.0,5.0
721,1986,Female,Arts and Recreation Services,Creative and Performing Arts Activities,Professionals,"Profesionales Legales, Sociales y de Bienestar",Between 5 and 19,No,Single person,Between 6 and 12 months,Metro,10%,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,40%,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,60%,60%,Somewhat agree,Somewhat agree,Strongly agree,Im 30% less productive when working remotely,2.0,8.0,5.0,1.0,0.0,10.0,5.0,1.0,Feeling left out and/or isolated,Connectivity (internet connection),Lack of motivation,Connectivity (internet connection),Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Connectivity (internet connection),Lack of motivation,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,"My living situation (e.g. location, home size, who I live with)",Caring responsibilities,Difficulty collaborating remotely,Lack of motivation,Lack of motivation,Lack of motivation,"My living situation (e.g. location, home size, who I live with)",Management discourages remote working,Preparing for work and commuting,My working relationships,Preparing for work and commuting,My mental wellbeing,My daily expenses,My job satisfaction,Managing my personal commitments,My mental wellbeing,My daily expenses,My job satisfaction,My daily expenses,My mental wellbeing,10,40,100,60,60,-30,-30,40,-40,2.0,1.0,2.0,2.0,1.0,2.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1,1,2,Feeling left out and/or isolated,Connectivity (internet connection),My daily expenses,My mental wellbeing,-5.0,-5.0
722,1969,Female,Education and Training,Preschool and School Education,Professionals,Profesionales de la Educación,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,Rarely or never ,,,,,,,50% - About half of my time,20%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,20%,10%,Strongly disagree,Strongly disagree,Strongly disagree,Im 50% more productive when working remotely (or more),0.5,8.0,6.0,9.0,0.0,8.0,8.0,7.0,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Lack of motivation,My organisation's software and systems,I have tasks that can't be done remotely,Management discourages remote working,Feeling left out and/or isolated,Lack of motivation,Caring responsibilities,I have tasks that can't be done remotely,Caring responsibilities,Management discourages remote working,Caring responsibilities,Management discourages remote working,My organisation's software and systems,I have tasks that can't be done remotely,Lack of motivation,Management discourages remote working,My organisation's software and systems,My work-life balance,The number of hours  I work,My mental wellbeing,My opportunities to socialise,My working relationships,My job satisfaction,My work-life balance,My opportunities to socialise,My work-life balance,My job satisfaction,My mental wellbeing,My opportunities to socialise,0,50,20,20,10,50,-50,0,-10,0.0,1.0,1.0,1.0,1.0,2.0,,,,,,,-2,-2,-2,Management discourages remote working,Caring responsibilities,My work-life balance,My opportunities to socialise,25.0,25.0
723,1960,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,Profesionales de Tecnologías de la Información y Comunicación,More than 200,No,Couple with no dependent children,More than 5 years,Metro,10%,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly agree,Somewhat agree,Somewhat agree,Im 20% more productive when working remotely,4.0,8.0,3.0,1.0,0.5,8.0,4.0,4.0,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Lack of motivation,Feeling left out and/or isolated,My organisation's software and systems,Feeling left out and/or isolated,Lack of remote working skills,Lack of motivation,Lack of motivation,Difficulty collaborating remotely,Caring responsibilities,Management discourages remote working,Caring responsibilities,Difficulty collaborating remotely,Lack of motivation,I have tasks that can't be done remotely,"My living situation (e.g. location, home size, who I live with)",Management discourages remote working,Lack of remote working skills,My work-life balance,My on-the-job learning opportunities,Preparing for work and commuting,My working relationships,Preparing for work and commuting,My working relationships,My work-life balance,My on-the-job learning opportunities,My work-life balance,My on-the-job learning opportunities,Managing my personal commitments,My job satisfaction,10,100,100,100,100,20,-90,0,0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,-2.0,2.0,2.0,2,1,1,Feeling left out and/or isolated,Lack of motivation,My work-life balance,My on-the-job learning opportunities,45.0,45.0
