id,year_born,gender,how_long,industry,occupation,organisation,household,m_r,remote_last_quarter,remote_preferred_last_quarter,remote_this_year,remote_preferred_this_year,covid_cured_preferred_remote,arra_updated_policy,past_6months,how_often,how_often_like,policy_workplace,policy_workplace_time,think_policy1,think_policy2,think_policy3,think_policy4,feel_remote_policy,think_6months1,think_6months2,think_6months3,think_6months4,think_6months5,think_6months6,think_6months7,think_remote,most_supportive,covid_cured1,covid_cured2,covid_cured3,think_workplace1,think_workplace2,think_workplace3,think_workplace4,think_workplace5,think_remote1,think_remote2,think_remote3,think_remote4,think_remote5,remote_paycut,biggest_paycut,barriers_remote1,barriers_remote2,barriers_remote3,barriers_remote4,barriers_remote5,barriers_remote6,barriers_remote7,barriers_remote8,barriers_remote9,barriers_remote10,barriers_remote11,barriers_remote12,barriers_remote13,barriers_remote14,barriers_remote15,barriers_remote16,barrier_colleagues1,barrier_colleagues2,barrier_colleagues3,barrier_colleagues4,barrier_colleagues5,barrier_colleagues6,barrier_colleagues7,barrier_colleagues8,barrier_colleagues9,barrier_colleagues10,barrier_colleagues11,barrier_colleagues12,barrier_colleagues13,barrier_colleagues14,barrier_colleagues15,barrier_colleagues16,barrier_colleagues17,barrier_colleagues18,barrier_colleagues19,barrier_colleagues20,barrier_colleagues21,barrier_colleagues22,barrier_colleagues23,barrier_colleagues24,barrier_colleagues25,barrier_colleagues26,barrier_colleagues27,barrier_colleagues28,statements1,statements2,statements_2,manage_people,employees_manage_remote,statements_3,statements11,statements12,statements1_2,statements21,statements22,statements2_2,statements2_3,statements23,productive,productive_employees,productive1,productive_employees1,remote_last_quarter1,remote_preferred_last_quarter1,remote_this_year1,remote_preferred_this_year1,covid_cured_preferred_remote1,how_often1,how_often_like1,policy_workplace_time1,t_policy1,t_policy2,t_policy3,t_policy4,t_6months1,t_6months2,t_6months3,t_6months4,t_6months5,t_6months6,t_6months7,ss1,ss2,ss_2,ss_3,ss11,ss12,ss1_2,ss21,ss22,ss2_2,ss2_3,ss23,bar_rem1,bar_rem2,bar_rem3,bar_rem4,bar_rem5,bar_rem6,bar_rem7,bar_rem8,bar_rem9,bar_rem10,bar_rem11,bar_rem12,bar_rem13,bar_rem14,bar_rem15,bar_rem16,biggest_b_colle,smallest_b_colle,occupation_d,index_p,index_p21
831,1970,Male,Between 1 and 5 years,"Professional, Scientific and Technical",Technicians and trades ,Between 5 and 19,Single person,Regional,Rarely or never,I would not have preferred to work remotely,Rarely or never,I would not have preferred to work remotely,I would prefer not to work remotely,Yes,No,,,Yes,80%,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither positive nor negative,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Negative,Senior leadership,Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,1.0,7.0,3.0,5.0,8.0,0.5,7.0,1.0,5.5,10.0,Yes,0.3,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Significantly worsened,Significantly worsened,Stayed about the same,Significantly worsened,Somewhat worsened,Somewhat improved,Somewhat worsened,Difficulty collaborating with remote colleagues,Lack of privacy,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Noisy work environment,Connectivity/internet issues,Interruptions,Difficulty innovating,Lack of privacy,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Lack of privacy,Problems with audio-visual setup,Difficulty innovating,Connectivity/internet issues,Noisy work environment,Interruptions,Lack of privacy,Problems with audio-visual setup,Noisy work environment,Neither agree nor disagree,Somewhat disagree,Strongly agree,Yes,No,,,,,,,,,,Im 20% less productive when working remotely,Im 20% less productive when working remotely,-20,-20.0,0,0,0,0,0,,,80.0,0,-1,0,2,-2,0,1,0,2,0,0,0.0,-1.0,2.0,,,,,,,,,,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-2.0,-2.0,0.0,-2.0,-1.0,1.0,-1.0,Connectivity/internet issues,Noisy work environment,"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",0.0,0.0
832,1976,Male,More than 5 years,Information Media and Telecommunications,Managers,More than 200,One parent family with dependent children,Metro,100% - I spent all of my time remote working,60%,100% - I spent all of my time remote working,60%,40%,Yes,Yes,50% - About half of my time,50% - About half of my time,No,,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat Negative,Senior leadership,Neither unlikely or likely,Somewhat likely,Somewhat likely,1.0,8.0,5.0,2.0,8.0,0.5,10.0,2.0,4.5,7.0,No,,Somewhat improved,Significantly improved,Somewhat improved,Significantly worsened,Somewhat worsened,Significantly worsened,Significantly worsened,Stayed about the same,Stayed about the same,Stayed about the same,Significantly worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Significantly worsened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat disagree,Neither agree nor disagree,Strongly agree,Yes,Yes,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,My productivity is about same when I work remotely,0,0.0,100,60,100,60,40,50.0,50.0,,1,2,2,2,1,2,2,2,-1,1,-1,-1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,-2.0,-1.0,-2.0,-2.0,0.0,0.0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-2.0,,,Gerentes Especialistas,-40.0,-40.0
833,1971,Male,Between 1 and 5 years,Retail Trade,Professionals,More than 200,Couple with no dependent children,Metro,80%,100% - All of my time,80%,90%,80%,No,No,,,No,,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly Positive,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly Positive,They are about the same,Somewhat likely,Very likely,Very likely,3.0,8.0,2.0,4.0,7.0,0.5,10.0,3.5,3.0,7.0,Yes,0.05,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Somewhat agree,Yes,Yes,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Im 20% more productive when working remotely,Im 20% more productive when working remotely,20,20.0,80,100,80,90,80,,,,2,1,-1,2,2,2,0,2,2,0,-1,1.0,-1.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,,,"Profesionales de Negocios, Recursos Humanos y Marketing",15.0,15.0
834,1963,Female,More than 5 years,Information Media and Telecommunications,Managers,More than 200,Couple with dependent children,Metro,80%,100% - All of my time,80%,100% - All of my time,80%,Yes,Yes,50% - About half of my time,100% - All of my time,No,,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat Positive,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither positive nor negative,They are about the same,Somewhat unlikely,Neither unlikely or likely,Somewhat unlikely,2.0,9.0,2.0,3.0,8.0,0.0,11.0,3.0,2.0,8.0,No,,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat worsened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,,,,,,,,,,,Im 50% more productive when working remotely (or more),,50,,80,100,80,100,80,50.0,100.0,,1,1,1,2,0,1,1,1,1,1,1,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,-1.0,,,Gerentes Especialistas,20.0,20.0
835,1973,Male,Between 1 and 5 years,Information Media and Telecommunications,Sales ,More than 200,Couple with dependent children,Metro,70%,50% - About half of my time,70%,50% - About half of my time,50% - About half of my time,Yes,No,,,No,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither positive nor negative,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat Positive,They are about the same,Very likely,Neither unlikely or likely,Somewhat likely,1.0,8.0,2.0,3.0,10.0,0.0,7.0,2.0,5.0,10.0,No,,Stayed about the same,Somewhat worsened,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Significantly worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,,,,,,,,,,,My productivity is about same when I work remotely,,0,,70,50,70,50,50,,,,1,1,1,1,2,2,2,2,0,0,-1,0.0,0.0,0.0,,,,,,,,,,0.0,-1.0,1.0,1.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,Representantes y Agentes de Ventas,-20.0,-20.0
836,1976,Female,Between 1 and 5 years,Other Services,Professionals,Between 20 and 199,Group household,Metro,50% - I spent about half of my time remote working,20%,20%,40%,40%,Yes,Yes,20%,40%,No,,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat Positive,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither positive nor negative,My direct manger(s),Very unlikely,Somewhat unlikely,Neither unlikely or likely,2.5,8.5,2.0,3.0,8.0,0.5,7.5,4.0,4.0,8.0,No,,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Difficulty collaborating with remote colleagues,Noisy work environment,Lack of appropriate work and meeting spaces,Lack of privacy,Interruptions,Difficulty innovating,Difficulty collaborating with remote colleagues,Lack of privacy,Interruptions,Noisy work environment,Interruptions,Noisy work environment,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Interruptions,Lack of privacy,Lack of appropriate work and meeting spaces,Difficulty innovating,Problems with audio-visual setup,Lack of privacy,Interruptions,Lack of privacy,Difficulty collaborating with remote colleagues,Noisy work environment,Strongly agree,Strongly agree,Strongly agree,No,,,,,,,,,,,Im 20% more productive when working remotely,,20,,50,20,20,40,40,20.0,40.0,,2,-1,1,1,-1,2,2,2,2,0,1,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,Interruptions,Noisy work environment,"Profesionales de Negocios, Recursos Humanos y Marketing",-5.0,-5.0
837,1988,Female,Between 1 and 5 years,Information Media and Telecommunications,Professionals,Between 20 and 199,Single person,Metro,100% - I spent all of my time remote working,100% - All of my time,70%,100% - All of my time,70%,Yes,Yes,70%,20%,Unsure,,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat Positive,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly Positive,They are about the same,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,4.0,8.0,2.0,4.0,6.0,1.0,8.0,2.0,5.0,8.0,Yes,0.1,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Not a barrier for me,Somewhat worsened,Stayed about the same,Not a barrier for me,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Neither agree nor disagree,No,,,,,,,,,,,Im 50% more productive when working remotely (or more),,50,,100,100,70,100,70,70.0,20.0,,1,1,2,0,2,1,-2,1,2,0,2,2.0,2.0,0.0,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,,-1.0,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,,,"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",15.0,15.0
838,1970,Male,More than 5 years,"Professional, Scientific and Technical",Professionals,More than 200,Single person,Metro,80%,100% - All of my time,80%,100% - All of my time,60%,Yes,No,,,Yes,40%,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither positive nor negative,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,3.0,9.0,3.0,2.0,7.0,0.5,9.0,3.0,4.5,7.0,Yes,0.02,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Yes,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Im 10% more productive when working remotely,Im 10% more productive when working remotely,10,10.0,80,100,80,100,60,,,40.0,0,-1,1,1,1,1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,,,"Profesionales de Negocios, Recursos Humanos y Marketing",20.0,20.0
839,1968,Male,More than 5 years,Manufacturing,Managers,Between 20 and 199,Couple with dependent children,Regional,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,Yes,Yes,Less than 10% of my time,Less than 10% of my time,Yes,90%,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly Positive,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Neither positive nor negative,My direct manger(s),Very likely,Very likely,Neither unlikely or likely,1.0,9.0,2.0,4.0,8.0,1.0,9.0,2.0,4.0,8.0,No,,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Difficulty collaborating with remote colleagues,Interruptions,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Interruptions,Difficulty innovating,Difficulty collaborating with remote colleagues,Difficulty innovating,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Interruptions,Connectivity/internet issues,Difficulty innovating,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Difficulty innovating,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Lack of privacy,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Difficulty innovating,Difficulty collaborating with remote colleagues,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Yes,No,,,,,,,,,,My productivity is about same when I work remotely,My productivity is about same when I work remotely,0,0.0,10,10,10,10,10,10.0,10.0,90.0,0,1,2,2,2,2,1,2,2,-2,-2,0.0,-2.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,Difficulty innovating,Lack of appropriate work and meeting spaces,Gerentes Especialistas,0.0,0.0
840,1996,Female,Between 1 and 5 years,Financial and Insurance,Professionals,More than 200,Single person,Metro,90%,100% - All of my time,90%,100% - All of my time,90%,Yes,No,,,Yes,40%,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat Positive,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat Positive,They are about the same,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,2.0,8.0,2.0,4.0,8.0,1.0,8.0,2.0,5.0,8.0,No,,Significantly improved,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat worsened,Stayed about the same,Not a barrier for me,Somewhat improved,Not a barrier for me,Not a barrier for me,Somewhat improved,Somewhat improved,Somewhat improved,Lack of privacy,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Connectivity/internet issues,Noisy work environment,Interruptions,Noisy work environment,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Lack of privacy,Noisy work environment,Connectivity/internet issues,Noisy work environment,Lack of privacy,Interruptions,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Noisy work environment,Lack of privacy,Difficulty collaborating with remote colleagues,Difficulty innovating,Noisy work environment,Somewhat agree,Somewhat agree,Somewhat agree,No,,,,,,,,,,,Im 30% more productive when working remotely,,30,,90,100,90,100,90,,,40.0,1,-2,2,0,0,-2,-1,1,2,-2,0,1.0,1.0,1.0,,,,,,,,,,2.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,0.0,,1.0,,,1.0,1.0,1.0,Lack of privacy,Noisy work environment,Profesionales de la Salud,10.0,10.0
841,1986,Female,More than 5 years,Education and Training,Community and personal service ,Between 20 and 199,Couple with dependent children,Regional,50% - I spent about half of my time remote working,50% - About half of my time,20%,50% - About half of my time,40%,Yes,Yes,20%,Less than 10% of my time,Yes,50% - About half of my time,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither positive nor negative,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat Positive,They are about the same,Neither unlikely or likely,Somewhat likely,Somewhat likely,1.5,8.0,2.0,3.5,9.0,0.5,8.5,2.0,4.0,9.0,Yes,0.05,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat improved,Somewhat improved,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat improved,Difficulty collaborating with remote colleagues,Noisy work environment,Problems with audio-visual setup,Lack of privacy,Difficulty innovating,Interruptions,Difficulty collaborating with remote colleagues,Lack of privacy,Difficulty innovating,Interruptions,Problems with audio-visual setup,Interruptions,Problems with audio-visual setup,Interruptions,Difficulty innovating,Lack of privacy,Difficulty collaborating with remote colleagues,Noisy work environment,Difficulty innovating,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Lack of privacy,Difficulty collaborating with remote colleagues,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,No,,,,,,,,,,,Im 20% more productive when working remotely,,20,,50,50,20,50,40,20.0,10.0,50.0,-1,0,1,1,1,-1,1,0,1,0,-1,0.0,1.0,0.0,,,,,,,,,,0.0,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,1.0,-1.0,0.0,0.0,1.0,Difficulty collaborating with remote colleagues,Interruptions,Cuidadores y Asistentes,15.0,15.0
842,1984,Female,More than 5 years,Health Care and Social Assistance,Professionals,Between 5 and 19,Couple with dependent children,Metro,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,50% - About half of my time,50% - About half of my time,No,Yes,Less than 10% of my time,50% - About half of my time,No,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat Positive,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,1.0,8.0,3.0,3.0,9.0,2.0,8.0,3.0,3.0,8.0,Yes,0.1,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,No,,,,,,,,,,Im 10% less productive when working remotely,Im 10% less productive when working remotely,-10,-10.0,10,10,10,50,50,10.0,50.0,,0,0,0,0,0,1,1,1,1,-1,-1,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Profesionales de la Salud,20.0,20.0
843,1993,Female,Between 1 and 5 years,"Professional, Scientific and Technical",Professionals,Between 20 and 199,Couple with no dependent children,Metro,60%,60%,40%,50% - About half of my time,50% - About half of my time,Yes,Yes,10%,20%,Yes,60%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat Positive,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat Positive,My direct manger(s),Somewhat unlikely,Somewhat unlikely,Somewhat likely,1.5,9.0,3.0,2.0,8.5,0.5,9.0,2.0,4.0,8.5,No,,Not a barrier for me,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat worsened,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat worsened,Somewhat improved,Not a barrier for me,Stayed about the same,Somewhat improved,Somewhat improved,Interruptions,Lack of privacy,Problems with audio-visual setup,Connectivity/internet issues,Interruptions,Difficulty innovating,Connectivity/internet issues,Difficulty innovating,Interruptions,Difficulty innovating,Interruptions,Problems with audio-visual setup,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Difficulty innovating,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Interruptions,Lack of privacy,Lack of appropriate work and meeting spaces,Difficulty innovating,Problems with audio-visual setup,Lack of privacy,Interruptions,Lack of privacy,Problems with audio-visual setup,Difficulty innovating,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No,,,,,,,,,,,Im 50% more productive when working remotely (or more),,50,,60,60,40,50,50,10.0,20.0,60.0,1,1,2,1,-1,0,1,1,1,0,-2,0.0,-1.0,0.0,,,,,,,,,,,0.0,1.0,1.0,0.0,1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,,0.0,1.0,1.0,Interruptions,Difficulty innovating,"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",5.0,5.0
844,2002,Male,More than 5 years,Accommodation and Food,Managers,More than 200,Other one family household,Metro,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,Yes,No,,,Yes,90%,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat Positive,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat Positive,They are about the same,Very unlikely,Very unlikely,Very unlikely,0.5,8.0,1.5,4.0,10.0,0.0,8.0,1.5,4.5,10.0,No,,Significantly worsened,Somewhat worsened,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat worsened,Somewhat worsened,Somewhat improved,Stayed about the same,Somewhat worsened,Not a barrier for me,Significantly worsened,Significantly improved,Somewhat worsened,Stayed about the same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat disagree,Somewhat disagree,Strongly agree,Yes,No,,,,,,,,,,My productivity is about same when I work remotely,My productivity is about same when I work remotely,0,0.0,10,10,10,10,10,,,90.0,-1,1,0,-2,-2,-2,-1,1,-1,-1,1,-1.0,-1.0,2.0,,,,,,,,,,-2.0,-1.0,1.0,2.0,1.0,2.0,-1.0,-1.0,1.0,0.0,-1.0,,-2.0,2.0,-1.0,0.0,,,"Gerentes de Hospitalidad, Retail y Servicios",0.0,0.0
845,1977,Female,More than 5 years,Administrative and Support,Managers,Between 20 and 199,Couple with dependent children,Metro,60%,70%,70%,60%,30%,Yes,Yes,50% - About half of my time,40%,Yes,50% - About half of my time,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat Positive,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither positive nor negative,Senior leadership,Very likely,Somewhat likely,Somewhat likely,6.0,3.0,4.0,4.0,7.0,6.0,3.0,2.0,2.0,11.0,Yes,0.16,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Significantly improved,Stayed about the same,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Strongly agree,Yes,Yes,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Im 30% more productive when working remotely,Im 30% more productive when working remotely,30,30.0,60,70,70,60,30,50.0,40.0,50.0,1,2,2,1,1,1,2,2,2,1,1,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,,,Gerentes Especialistas,0.0,0.0
