occupation_d,¿Gestionas personas como parte de tu trabajo actual?,¿Los empleados que gestionas trabajan de forma remota alguna vez?,Tengo discreción para ofrecer o denegar el trabajo remoto a los empleados que gestiono,Ofrecer trabajo remoto me ayuda a retener empleados,Ofrecer trabajo remoto me ayuda a reclutar empleados,Mi equipo funciona bien cuando trabajan de forma remota,"Me resulta fácil gestionar empleados de forma remota (por ejemplo, asignar tareas y controlar el progreso)",Me resulta fácil gestionar empleados con bajo rendimiento de forma remota,Me siento bien preparado/a para gestionar empleados de forma remota,Gestionar personas de forma remota me hace estar más enfocado/a en los resultados,Me resulta fácil contactar a mis empleados cuando trabajan de forma remota
Gerentes Especialistas,Yes,Yes,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Gerentes Especialistas,Yes,Yes,-20.0,-1.0,0.0,0.0,-2.0,-2.0,-2.0,-1.0,0.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,-20.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0
Agricultores y Gerentes de Granjas,Yes,Yes,30.0,2.0,-1.0,0.0,1.0,-2.0,1.0,-1.0,2.0
Profesionales de la Educación,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,10.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
Gerentes Especialistas,Yes,Yes,-30.0,1.0,-2.0,1.0,-2.0,-1.0,1.0,0.0,1.0
Profesionales de la Educación,Yes,Yes,40.0,1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0
Asistentes Personales y Secretarias,Yes,Yes,0.0,-1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0
Profesionales de la Salud,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,10.0,,,,,,,,
Servicio de Protección,Yes,Yes,20.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0
Profesionales de las Artes y los Medios,Yes,Yes,20.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0
Gerentes Especialistas,Yes,Yes,30.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
Agricultores y Gerentes de Granjas,Yes,Yes,40.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0
Gerentes de Oficina y Administradores de Programas,Yes,Yes,30.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
Gerentes de Oficina y Administradores de Programas,Yes,Yes,10.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,30.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0
Gerentes de Oficina y Administradores de Programas,Yes,Yes,10.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0
Profesionales de las Artes y los Medios,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,-40.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,40.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0
Profesionales de la Educación,Yes,No,30.0,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,10.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
Profesionales de la Educación,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,1.0,1.0,2.0,1.0,0.0,0.0,-1.0,-1.0
Clerical General,No,,,,,,,,,,
Profesionales de las Artes y los Medios,Yes,Yes,50.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0
Profesionales de la Educación,Yes,Yes,10.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,30.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,10.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
Profesionales de la Salud,Yes,No,50.0,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,30.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
Gerentes Especialistas,Yes,Yes,30.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,No,10.0,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,50.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0
Operadores de Máquinas y Plantas Estacionarias,Yes,Yes,10.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Oficios de Construcción,Yes,Yes,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
Gerentes Especialistas,Yes,Yes,20.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,40.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,-1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,0.0,-1.0,1.0,0.0,1.0,0.0,-1.0,1.0,1.0
"Gerentes de Hospitalidad, Retail y Servicios",No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,30.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Servicio de Protección,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,-20.0,2.0,2.0,1.0,0.0,-2.0,-2.0,-1.0,1.0
Clerical General,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,40.0,1.0,2.0,2.0,1.0,-1.0,0.0,2.0,2.0
Soporte de Ventas,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,,,,,,,,,,
Asistentes Personales y Secretarias,No,,,,,,,,,,
Clerical General,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,-10.0,1.0,1.0,0.0,1.0,-1.0,1.0,0.0,1.0
Apoyo Clerical y de Oficina,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,-10.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0
Gerentes Especialistas,Yes,Yes,30.0,0.0,-1.0,0.0,1.0,0.0,-1.0,0.0,1.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,-30.0,0.0,0.0,-1.0,1.0,1.0,0.0,-1.0,0.0
Gerentes Especialistas,Yes,Yes,10.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Representantes y Agentes de Ventas,Yes,Yes,20.0,0.0,1.0,1.0,1.0,-1.0,-1.0,0.0,1.0
Apoyo Clerical y de Oficina,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,10.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0
Gerentes Especialistas,Yes,Yes,20.0,1.0,0.0,-1.0,-1.0,0.0,1.0,1.0,0.0
Oficios de Electrotecnología y Telecomunicaciones,Yes,Yes,50.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0
Clerical General,No,,,,,,,,,,
Asistentes Personales y Secretarias,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,10.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
Representantes y Agentes de Ventas,No,,,,,,,,,,
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,-30.0,1.0,0.0,0.0,-1.0,1.0,1.0,0.0,2.0
Gerentes Especialistas,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,1.0,1.0,1.0,-1.0,-2.0,-2.0,0.0,-1.0
Gerentes Especialistas,Yes,Yes,20.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Gerentes Especialistas,Yes,Yes,20.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
Profesionales de la Educación,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,20.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0
Clerical General,Yes,Yes,40.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0
Gerentes Especialistas,Yes,Yes,50.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,2.0,-1.0,1.0,-1.0,-1.0,-2.0,-1.0,1.0
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,20.0,1.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0
Gerentes Especialistas,Yes,Yes,20.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
Profesionales de la Educación,No,,,,,,,,,,
Gerentes Especialistas,Yes,No,50.0,,,,,,,,
Gerentes Especialistas,Yes,Yes,10.0,0.0,-1.0,0.0,1.0,1.0,0.0,1.0,0.0
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
Clerical General,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,No,-20.0,,,,,,,,
Apoyo Clerical y de Oficina,No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,40.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0
Profesionales de la Educación,No,,,,,,,,,,
Oficios de Construcción,No,,,,,,,,,,
Profesionales de la Salud,Yes,Yes,10.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Operadores de Equipos Móviles,Yes,Yes,10.0,0.0,-2.0,2.0,-1.0,2.0,0.0,-1.0,2.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,40.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0
Conductores de Carretera y Ferrocarril,No,,,,,,,,,,
Gerentes de Oficina y Administradores de Programas,No,,,,,,,,,,
Profesionales de las Artes y los Medios,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Oficios de Alimentación,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,50.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
Gerentes Especialistas,Yes,Yes,30.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0
Conductores de Carretera y Ferrocarril,Yes,Yes,-20.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0
Clerical General,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,50.0,1.0,2.0,0.0,2.0,1.0,-2.0,1.0,2.0
Apoyo Clerical y de Oficina,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,,,,,,,,,,
Representantes y Agentes de Ventas,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,20.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
Profesionales de la Salud,Yes,No,0.0,,,,,,,,
Clerical General,No,,,,,,,,,,
Profesionales de la Educación,Yes,Yes,50.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,2.0,1.0,0.0,-1.0,0.0,1.0,2.0,1.0
"Gerentes de Hospitalidad, Retail y Servicios",Yes,No,0.0,,,,,,,,
Profesionales de la Salud,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,0.0,-2.0,0.0,1.0,1.0,1.0,1.0,1.0
Gerentes Especialistas,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,2.0,2.0,2.0,2.0,2.0,-1.0,2.0,2.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
Gerentes Especialistas,Yes,Yes,20.0,1.0,0.0,0.0,0.0,-1.0,-1.0,1.0,0.0
"Granja, Silvicultura y Jardín",No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0,1.0
Profesionales de la Educación,No,,,,,,,,,,
Otros Técnicos y Oficios,No,,,,,,,,,,
Gerentes Especialistas,Yes,No,40.0,,,,,,,,
Gerentes Especialistas,Yes,No,30.0,,,,,,,,
Gerentes Especialistas,Yes,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,,,,,,,,,,
Obreros de Construcción y Minería,Yes,Yes,20.0,-2.0,-2.0,-1.0,2.0,2.0,-1.0,2.0,2.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,20.0,0.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0
Profesionales de las Artes y los Medios,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,40.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
Profesionales de la Educación,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,30.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,50.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,20.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
Clerical General,No,,,,,,,,,,
Habilidad en Cuidado Animal y Horticultura,No,,,,,,,,,,
Profesionales de la Salud,Yes,Yes,30.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Hospitalidad,Yes,Yes,0.0,-1.0,0.0,-2.0,-1.0,0.0,-1.0,0.0,-1.0
Clerical General,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,10.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Clerical General,No,,,,,,,,,,
Profesionales de las Artes y los Medios,No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
Profesionales de la Salud,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,20.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,30.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Gerentes de Oficina y Administradores de Programas,Yes,Yes,30.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0
Profesionales de la Educación,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,1.0
Otros Clericales y Administrativos,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Profesionales de la Salud,Yes,Yes,0.0,2.0,1.0,2.0,2.0,0.0,-1.0,1.0,2.0
Representantes y Agentes de Ventas,Yes,Yes,50.0,-2.0,-1.0,0.0,1.0,2.0,1.0,0.0,-1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,-20.0,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,30.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,-30.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,,,,,,,,,,
Proceso de Fábrica,Yes,Yes,40.0,-1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,40.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0
Profesionales de la Educación,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,20.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0
Apoyo Clerical y de Oficina,Yes,Yes,30.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,20.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0
Apoyo Clerical y de Oficina,No,,,,,,,,,,
Cuidadores y Asistentes,Yes,Yes,20.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",Yes,No,30.0,,,,,,,,
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",No,,,,,,,,,,
Representantes y Agentes de Ventas,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,20.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Apoyo Clerical y de Oficina,No,,,,,,,,,,
Gerentes Especialistas,Yes,No,50.0,,,,,,,,
Oficios de Electrotecnología y Telecomunicaciones,Yes,Yes,50.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0
Gerentes Especialistas,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,-1.0,-2.0,1.0,0.0,-1.0,2.0,1.0,2.0
Profesionales de la Educación,Yes,Yes,40.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0
Gerentes Especialistas,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,50.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
Representantes y Agentes de Ventas,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Asistentes y Vendedores,Yes,Yes,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Profesionales de la Educación,Yes,Yes,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,-20.0,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,0.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.0,1.0
Clerical General,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,30.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,50.0,,,,,,,,
Profesionales de la Salud,Yes,Yes,40.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0
Apoyo Clerical y de Oficina,No,,,,,,,,,,
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,10.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,50.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
Oficios de Construcción,Yes,Yes,-30.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Asistentes y Vendedores,Yes,Yes,40.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0
Oficios de Electrotecnología y Telecomunicaciones,Yes,No,30.0,,,,,,,,
Clerks Numéricos,No,,,,,,,,,,
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",No,,,,,,,,,,
Apoyo Clerical y de Oficina,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0
Apoyo Clerical y de Oficina,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,30.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,-10.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,40.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gerentes de Oficina y Administradores de Programas,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,20.0,1.0,2.0,2.0,1.0,1.0,-1.0,1.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,50.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Gerentes Especialistas,Yes,Yes,-10.0,-2.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-2.0
Apoyo Clerical y de Oficina,No,,,,,,,,,,
Clerks de Consultas y Recepcionistas,Yes,Yes,-10.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Hospitalidad,Yes,Yes,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0
Profesionales de la Educación,No,,,,,,,,,,
Gerentes Especialistas,Yes,No,20.0,,,,,,,,
Clerical General,No,,,,,,,,,,
Profesionales de la Educación,Yes,No,50.0,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Otros Técnicos y Oficios,No,,,,,,,,,,
Profesionales de la Salud,Yes,Yes,40.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
Oficios de Construcción,Yes,Yes,20.0,-1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0
Clerks de Consultas y Recepcionistas,No,,,,,,,,,,
Representantes y Agentes de Ventas,No,,,,,,,,,,
Oficios de Construcción,Yes,Yes,50.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0
Apoyo Clerical y de Oficina,No,,,,,,,,,,
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,10.0,1.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gerentes Especialistas,Yes,Yes,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,10.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
Profesionales de la Salud,Yes,Yes,30.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,40.0,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,1.0
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,50.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
