occupation_d,Mis responsabilidades de cuidado,Conectividad,Software y sistemas de mi organización,Dificultad para colaborar de forma remota,Mala gestión,Equipos informáticos,Sentirse excluido/a y/o aislado/a,Costos adicionales,Ciberseguridad,Tengo tareas que no se pueden realizar de forma remota,Mi espacio de trabajo ,Motivación,La gerencia desalienta el trabajo remoto,Mi situación de vida,Falta de habilidades para trabajar de forma remota,Mi salud y seguridad al trabajar de forma remota,¿Cuáles fueron las barreras más grandes al trabajar de esta manera?,¿Cuáles fueron las barreras más pequeñas al trabajar de esta manera?
Operadores de Máquinas y Plantas Estacionarias,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,
Profesionales de Tecnologías de la Información y Comunicación,0.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Interrupciones,Falta de privacidad
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,
Oficios de Construcción,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,Dificultad para colaborar con colegas remotos,Falta de privacidad
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,
Gerentes Especialistas,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,Dificultad para colaborar con colegas remotos,Interrupciones
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,1.0,1.0,,
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,,1.0,0.0,1.0,,,,Falta de espacios de trabajo y reuniones adecuados,Problemas de conectividad/internet
Gerentes Especialistas,0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,,-1.0,0.0,-1.0,,,1.0,,
"Gerentes de Hospitalidad, Retail y Servicios",0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Entorno de trabajo ruidoso,Dificultad para colaborar con colegas remotos
Profesionales de Tecnologías de la Información y Comunicación,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,,
Servicio de Protección,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Interrupciones,Dificultad para colaborar con colegas remotos
Gerentes Especialistas,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,Dificultad para innovar,Interrupciones
Clerical General,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Dificultad para innovar,Problemas de conectividad/internet
Gerentes Especialistas,,2.0,1.0,1.0,-1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,-1.0,0.0,1.0,-2.0,Problemas de conectividad/internet,Entorno de trabajo ruidoso
Soporte de Ventas,,2.0,,,,,,,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Falta de privacidad,Dificultad para colaborar con colegas remotos
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-1.0,Dificultad para innovar,Falta de espacios de trabajo y reuniones adecuados
Asistentes Personales y Secretarias,0.0,,,,,,,,,0.0,,,1.0,,,,Problemas de conectividad/internet,Dificultad para innovar
Clerical General,0.0,1.0,-1.0,0.0,1.0,1.0,-1.0,0.0,,,0.0,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",1.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,Dificultad para colaborar con colegas remotos,Falta de espacios de trabajo y reuniones adecuados
Apoyo Clerical y de Oficina,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,,2.0,2.0,-2.0,2.0,2.0,2.0,Dificultad para colaborar con colegas remotos,Interrupciones
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,Dificultad para colaborar con colegas remotos,Problemas de conectividad/internet
Gerentes Especialistas,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,1.0,-2.0,-2.0,-1.0,-1.0,-1.0,-2.0,0.0,0.0,Dificultad para colaborar con colegas remotos,Entorno de trabajo ruidoso
Profesionales de Tecnologías de la Información y Comunicación,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Gerentes Especialistas,0.0,-1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,-2.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,0.0,Problemas con la configuración de audio y video,Falta de espacios de trabajo y reuniones adecuados
Gerentes Especialistas,0.0,-1.0,0.0,1.0,0.0,-1.0,-2.0,2.0,0.0,1.0,-2.0,1.0,,0.0,,0.0,,
Representantes y Agentes de Ventas,1.0,1.0,1.0,-1.0,0.0,-1.0,-2.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,Interrupciones,Problemas de conectividad/internet
Apoyo Clerical y de Oficina,2.0,2.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1.0,0.0,0.0,2.0,Entorno de trabajo ruidoso,Interrupciones
Profesionales de Tecnologías de la Información y Comunicación,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,Entorno de trabajo ruidoso,Falta de espacios de trabajo y reuniones adecuados
Gerentes Especialistas,-1.0,-2.0,-1.0,1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,Entorno de trabajo ruidoso,Problemas de conectividad/internet
Gerentes Especialistas,1.0,2.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,1.0,,
Oficios de Electrotecnología y Telecomunicaciones,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Interrupciones,Entorno de trabajo ruidoso
Clerical General,-1.0,-1.0,0.0,0.0,-2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,-1.0,Falta de espacios de trabajo y reuniones adecuados,Entorno de trabajo ruidoso
Asistentes Personales y Secretarias,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,,,1.0,0.0,,,1.0,Problemas con la configuración de audio y video,Entorno de trabajo ruidoso
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Interrupciones,Problemas con la configuración de audio y video
Representantes y Agentes de Ventas,,,,,,,,,,,,,-1.0,,,1.0,Problemas de conectividad/internet,Dificultad para innovar
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",1.0,1.0,1.0,,0.0,2.0,,-1.0,1.0,0.0,0.0,0.0,,-1.0,0.0,0.0,Entorno de trabajo ruidoso,Problemas con la configuración de audio y video
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,0.0,0.0,-2.0,-1.0,-1.0,,-1.0,-2.0,-1.0,1.0,0.0,-2.0,1.0,-1.0,0.0,Entorno de trabajo ruidoso,Problemas con la configuración de audio y video
Gerentes Especialistas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Falta de espacios de trabajo y reuniones adecuados,Falta de privacidad
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,0.0,0.0,-1.0,0.0,-2.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,Dificultad para colaborar con colegas remotos,Falta de privacidad
Gerentes Especialistas,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Problemas con la configuración de audio y video,Dificultad para colaborar con colegas remotos
Gerentes Especialistas,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,Falta de espacios de trabajo y reuniones adecuados,Falta de privacidad
Profesionales de la Educación,,,,-1.0,,0.0,,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Interrupciones,Problemas con la configuración de audio y video
Gerentes Especialistas,0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-2.0,-2.0,-1.0,1.0,0.0,0.0,1.0,Dificultad para colaborar con colegas remotos,Problemas de conectividad/internet
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",0.0,-1.0,-2.0,2.0,0.0,-2.0,0.0,1.0,-1.0,0.0,0.0,-1.0,1.0,1.0,,-1.0,Dificultad para colaborar con colegas remotos,Problemas con la configuración de audio y video
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,1.0,1.0,-2.0,1.0,0.0,0.0,0.0,-1.0,-2.0,0.0,-2.0,-1.0,-2.0,0.0,-2.0,,
Clerical General,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,Dificultad para colaborar con colegas remotos,Falta de privacidad
Gerentes Especialistas,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Falta de espacios de trabajo y reuniones adecuados,Problemas de conectividad/internet
"Profesionales de Negocios, Recursos Humanos y Marketing",1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,-1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,
Profesionales de Tecnologías de la Información y Comunicación,1.0,-1.0,0.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,Interrupciones,Falta de privacidad
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.0,0.0,-1.0,0.0,1.0,-1.0,0.0,1.0,1.0,Interrupciones,Falta de privacidad
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
Gerentes Especialistas,0.0,0.0,0.0,-1.0,-1.0,0.0,-2.0,,0.0,,1.0,-1.0,,0.0,,0.0,Entorno de trabajo ruidoso,Falta de privacidad
"Directores Ejecutivos, Gerentes Generales y Legisladores",,,1.0,,1.0,2.0,-1.0,-1.0,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,Entorno de trabajo ruidoso,Falta de privacidad
Gerentes Especialistas,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Interrupciones,Problemas de conectividad/internet
Profesionales de la Educación,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,1.0,Problemas de conectividad/internet,Interrupciones
Gerentes Especialistas,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,Dificultad para innovar,Entorno de trabajo ruidoso
Gerentes Especialistas,-2.0,-2.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,Dificultad para colaborar con colegas remotos,Problemas con la configuración de audio y video
"Profesionales Legales, Sociales y de Bienestar",,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Otros Clericales y Administrativos,,,,,,,,,,,,,,,,,,
Clerical General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,
"Profesionales de Negocios, Recursos Humanos y Marketing",,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,,
Apoyo Clerical y de Oficina,1.0,1.0,0.0,0.0,,1.0,,0.0,0.0,,1.0,1.0,,1.0,,1.0,Interrupciones,Dificultad para colaborar con colegas remotos
Otros Clericales y Administrativos,,0.0,2.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Gerentes Especialistas,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,Problemas de conectividad/internet,Dificultad para colaborar con colegas remotos
"Profesionales de Negocios, Recursos Humanos y Marketing",0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Entorno de trabajo ruidoso,Problemas con la configuración de audio y video
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,Problemas con la configuración de audio y video,Entorno de trabajo ruidoso
Profesionales de la Educación,,-1.0,0.0,-2.0,-1.0,-1.0,-2.0,0.0,-1.0,-2.0,,0.0,1.0,,-1.0,1.0,Dificultad para colaborar con colegas remotos,Interrupciones
Oficios de Construcción,0.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,
Profesionales de la Salud,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,Problemas con la configuración de audio y video,Dificultad para colaborar con colegas remotos
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,-2.0,-2.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.0,-1.0,2.0,-1.0,0.0,-1.0,0.0,Problemas con la configuración de audio y video,Falta de espacios de trabajo y reuniones adecuados
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,1.0,Entorno de trabajo ruidoso,Falta de espacios de trabajo y reuniones adecuados
Operadores de Equipos Móviles,0.0,-2.0,0.0,-1.0,-2.0,1.0,-2.0,0.0,0.0,-1.0,-1.0,0.0,-2.0,0.0,0.0,1.0,Entorno de trabajo ruidoso,Falta de privacidad
Profesionales de Tecnologías de la Información y Comunicación,,,,,,,,,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",2.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,-1.0,0.0,-2.0,0.0,,0.0,,
"Profesionales de Negocios, Recursos Humanos y Marketing",1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,,
Conductores de Carretera y Ferrocarril,0.0,0.0,,,,,,,,,,,,1.0,,,,
Gerentes de Oficina y Administradores de Programas,-1.0,0.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,,0.0,1.0,,,,1.0,Problemas de conectividad/internet,Interrupciones
Profesionales de las Artes y los Medios,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,Problemas con la configuración de audio y video,Entorno de trabajo ruidoso
Profesionales de Tecnologías de la Información y Comunicación,1.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,Problemas de conectividad/internet,Entorno de trabajo ruidoso
Oficios de Alimentación,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,-1.0,0.0,1.0,1.0,,
Profesionales de Tecnologías de la Información y Comunicación,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,
Gerentes Especialistas,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,Interrupciones,Dificultad para colaborar con colegas remotos
Conductores de Carretera y Ferrocarril,-1.0,-1.0,2.0,2.0,-2.0,-2.0,2.0,-2.0,1.0,2.0,-1.0,1.0,-2.0,-1.0,2.0,2.0,Falta de privacidad,Entorno de trabajo ruidoso
Clerical General,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"Profesionales de Negocios, Recursos Humanos y Marketing",1.0,2.0,0.0,1.0,-1.0,1.0,2.0,-1.0,1.0,1.0,1.0,0.0,0.0,,,-1.0,Dificultad para innovar,Entorno de trabajo ruidoso
Apoyo Clerical y de Oficina,,,,0.0,,,,,,,0.0,0.0,,,,,Dificultad para colaborar con colegas remotos,Falta de espacios de trabajo y reuniones adecuados
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,1.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,,
Representantes y Agentes de Ventas,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,Dificultad para colaborar con colegas remotos,Falta de privacidad
Gerentes Especialistas,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,Interrupciones,Problemas de conectividad/internet
Profesionales de la Salud,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,,1.0,0.0,,1.0,,
Clerical General,1.0,2.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,2.0,1.0,1.0,Dificultad para colaborar con colegas remotos,Problemas con la configuración de audio y video
Profesionales de la Educación,,,0.0,,,0.0,,,,,,2.0,2.0,2.0,2.0,2.0,Interrupciones,Problemas con la configuración de audio y video
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,,
"Gerentes de Hospitalidad, Retail y Servicios",,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,
Profesionales de la Salud,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,Problemas de conectividad/internet,Entorno de trabajo ruidoso
"Directores Ejecutivos, Gerentes Generales y Legisladores",-1.0,-1.0,0.0,0.0,-2.0,-1.0,0.0,-1.0,1.0,-1.0,0.0,0.0,1.0,-2.0,0.0,0.0,Entorno de trabajo ruidoso,Problemas con la configuración de audio y video
Gerentes Especialistas,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,Falta de privacidad,Entorno de trabajo ruidoso
"Directores Ejecutivos, Gerentes Generales y Legisladores",,,,,,,,,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",,,,,,,,,,,,,,,,,Dificultad para colaborar con colegas remotos,Problemas de conectividad/internet
Gerentes Especialistas,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,Problemas de conectividad/internet,Entorno de trabajo ruidoso
"Granja, Silvicultura y Jardín",0.0,,,,,,,,,,,-1.0,,0.0,,0.0,,
Otros Clericales y Administrativos,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Gerentes Especialistas,-1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,-1.0,0.0,1.0,0.0,Entorno de trabajo ruidoso,Problemas de conectividad/internet
Profesionales de la Educación,,,,,,,0.0,,,-2.0,,-1.0,-2.0,1.0,,,,
Otros Técnicos y Oficios,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,Dificultad para colaborar con colegas remotos,Falta de privacidad
Gerentes Especialistas,,0.0,1.0,-1.0,-1.0,1.0,,2.0,0.0,0.0,-1.0,1.0,0.0,-2.0,2.0,2.0,,
Gerentes Especialistas,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,Dificultad para colaborar con colegas remotos,Entorno de trabajo ruidoso
Gerentes Especialistas,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,Dificultad para colaborar con colegas remotos,Problemas con la configuración de audio y video
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Obreros de Construcción y Minería,,,1.0,1.0,1.0,2.0,,-1.0,1.0,,,2.0,2.0,1.0,,2.0,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,Dificultad para colaborar con colegas remotos,Interrupciones
"Profesionales de Negocios, Recursos Humanos y Marketing",-1.0,0.0,1.0,-2.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,,,,,0.0,Dificultad para innovar,Entorno de trabajo ruidoso
Profesionales de las Artes y los Medios,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,
Gerentes Especialistas,0.0,0.0,0.0,-1.0,0.0,0.0,,,,,,1.0,,,,,,
Profesionales de la Educación,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Gerentes Especialistas,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,
Profesionales de Tecnologías de la Información y Comunicación,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-1.0,1.0,0.0,-1.0,2.0,-1.0,1.0,-2.0,Problemas de conectividad/internet,Entorno de trabajo ruidoso
Profesionales de Tecnologías de la Información y Comunicación,-1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,-1.0,,
"Profesionales de Negocios, Recursos Humanos y Marketing",1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,Falta de espacios de trabajo y reuniones adecuados,Falta de privacidad
Gerentes Especialistas,1.0,0.0,1.0,1.0,2.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,1.0,,2.0,1.0,2.0,Falta de privacidad,Falta de espacios de trabajo y reuniones adecuados
Clerical General,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,-2.0,-1.0,2.0,-1.0,0.0,0.0,Problemas de conectividad/internet,Entorno de trabajo ruidoso
Habilidad en Cuidado Animal y Horticultura,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,1.0,-1.0,-2.0,2.0,Problemas con la configuración de audio y video,Dificultad para innovar
Profesionales de la Salud,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,,
"Profesionales de Negocios, Recursos Humanos y Marketing",1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,Falta de espacios de trabajo y reuniones adecuados,Falta de privacidad
Hospitalidad,-2.0,-1.0,-2.0,-1.0,-1.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,Falta de espacios de trabajo y reuniones adecuados,Entorno de trabajo ruidoso
Clerical General,-1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.0,,
"Profesionales de Negocios, Recursos Humanos y Marketing",2.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,,
Profesionales de la Educación,0.0,0.0,0.0,0.0,,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,Entorno de trabajo ruidoso,Falta de privacidad
Gerentes Especialistas,-1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,Entorno de trabajo ruidoso,Interrupciones
Clerical General,,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,
Profesionales de las Artes y los Medios,,,,,,,-1.0,,,0.0,,0.0,,,,,,
Otros Clericales y Administrativos,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,,,0.0,,0.0,,1.0,Interrupciones,Dificultad para innovar
Profesionales de la Salud,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0,-2.0,-1.0,-2.0,Falta de privacidad,Problemas de conectividad/internet
Gerentes Especialistas,1.0,2.0,2.0,2.0,1.0,2.0,1.0,-1.0,-1.0,0.0,-1.0,2.0,2.0,2.0,1.0,2.0,Falta de privacidad,Falta de espacios de trabajo y reuniones adecuados
"Profesionales de Negocios, Recursos Humanos y Marketing",1.0,0.0,1.0,,,0.0,,,,0.0,0.0,1.0,,2.0,,1.0,,
