occupation_d,Preparación para el trabajo y desplazamiento en el lugar de trabajo,Trabajo en el lugar de trabajo,Responsabilidades de cuidado y domésticas en el lugar de trabajo,Tiempo personal y familiar en el lugar de trabajo,Sueño en el lugar de trabajo,Preparación para el trabajo y desplazamiento en el trabajo remoto,Trabajo en el trabajo remoto,Responsabilidades de cuidado y domésticas en el trabajo remoto,Tiempo personal y familiar en el trabajo remoto,Sueño en el trabajo remoto
"Profesionales de Negocios, Recursos Humanos y Marketing",2.5,9.0,2.5,3.0,7.0,0.5,8.0,2.0,5.5,8.0
Agricultores y Gerentes de Granjas,10.0,3.0,11.0,,,3.0,2.0,12.0,5.0,2.0
Otros Técnicos y Oficios,1.0,6.0,5.0,4.0,8.0,1.0,5.0,4.0,5.0,9.0
"Profesionales de Negocios, Recursos Humanos y Marketing",2.0,9.0,2.0,3.0,8.0,0.0,12.0,2.0,2.0,8.0
Profesionales de la Educación,3.0,8.0,2.0,3.0,8.0,1.0,10.0,3.0,3.0,7.0
Profesionales de la Educación,1.0,14.0,2.0,2.0,5.0,1.0,6.0,7.0,4.0,6.0
"Profesionales de Negocios, Recursos Humanos y Marketing",3.0,3.0,5.0,4.0,9.0,,8.0,,7.0,9.0
"Gerentes de Hospitalidad, Retail y Servicios",6.0,2.0,4.0,4.0,8.0,8.0,2.0,2.0,3.0,9.0
Otros Clericales y Administrativos,1.0,9.0,5.0,3.0,6.0,1.0,9.0,4.0,3.0,7.0
Gerentes Especialistas,2.0,8.0,4.0,2.0,8.0,2.0,8.0,4.0,2.0,8.0
Gerentes Especialistas,1.0,12.0,4.0,0.0,7.0,0.0,15.0,3.0,0.0,6.0
Gerentes Especialistas,1.0,8.0,5.0,2.0,8.0,1.0,8.0,5.0,3.0,7.0
Gerentes Especialistas,2.0,8.0,4.0,2.0,8.0,2.0,8.0,4.0,2.0,8.0
Apoyo Clerical y de Oficina,2.0,8.0,2.0,4.0,8.0,1.0,8.0,3.0,4.0,8.0
Apoyo Clerical y de Oficina,1.0,8.0,3.0,4.0,8.0,0.0,8.0,4.0,4.0,8.0
Clerical General,1.0,8.0,3.0,4.0,8.0,0.0,8.0,4.0,4.0,8.0
Profesionales de la Salud,2.0,8.0,1.0,5.0,8.0,0.0,8.0,2.0,5.0,9.0
Apoyo Clerical y de Oficina,1.0,8.0,4.0,3.0,8.0,1.0,8.0,4.0,3.0,8.0
"Profesionales de Negocios, Recursos Humanos y Marketing",3.0,9.0,2.0,3.0,7.0,0.5,10.0,3.0,4.0,6.5
"Directores Ejecutivos, Gerentes Generales y Legisladores",4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
Apoyo de Salud y Bienestar,1.0,8.0,5.0,2.0,8.0,1.0,7.0,6.0,2.0,8.0
Otros Clericales y Administrativos,0.0,8.0,5.0,4.0,7.0,0.0,8.0,5.0,4.0,7.0
Oficios de Electrotecnología y Telecomunicaciones,2.0,6.0,4.0,6.0,6.0,1.0,7.0,4.0,6.0,6.0
Profesionales de la Educación,2.0,8.0,3.0,4.0,7.0,0.0,8.0,4.0,4.0,8.0
"Profesionales Legales, Sociales y de Bienestar",7.0,6.0,3.0,2.0,6.0,1.0,8.0,7.0,2.0,6.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",3.0,9.0,2.0,3.0,7.0,1.0,10.0,3.0,3.0,7.0
Clerks de Consultas y Recepcionistas,4.0,1.0,3.0,8.0,8.0,4.0,8.0,8.0,2.0,2.0
Gerentes de Oficina y Administradores de Programas,2.0,8.0,2.0,4.0,8.0,0.0,7.0,4.0,5.0,8.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,8.0,2.0,4.0,8.0,0.0,8.0,4.0,4.0,8.0
Otros Clericales y Administrativos,3.0,12.0,0.0,5.0,4.0,3.0,12.0,0.0,5.0,4.0
Apoyo Clerical y de Oficina,1.0,5.0,3.0,7.0,8.0,1.0,5.0,3.0,7.0,8.0
Profesionales de la Educación,3.0,7.0,3.0,3.0,8.0,0.0,10.0,3.0,3.0,8.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",1.5,7.5,4.0,4.0,7.0,0.0,7.0,5.0,5.0,7.0
Operadores de Máquinas y Plantas Estacionarias,2.0,10.0,2.0,4.0,6.0,2.0,10.0,5.0,0.0,7.0
Asistentes y Vendedores,3.0,8.0,3.0,3.0,7.0,1.0,10.0,3.0,3.0,7.0
"Profesionales Legales, Sociales y de Bienestar",1.0,8.0,0.5,6.5,8.0,0.5,8.0,2.5,5.0,8.0
Asistentes y Vendedores,1.0,7.0,3.0,5.0,8.0,1.0,8.0,2.0,5.0,8.0
Oficios de Electrotecnología y Telecomunicaciones,4.0,10.0,2.0,4.0,4.0,6.0,6.0,2.0,4.0,6.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,5.0,2.0,5.0,10.0,2.0,8.0,3.0,3.0,8.0
Asistentes Personales y Secretarias,2.0,8.0,2.0,4.0,8.0,0.0,8.0,2.0,6.0,8.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,9.0,4.0,6.0,4.0,1.0,9.0,6.0,4.0,4.0
"Profesionales de Negocios, Recursos Humanos y Marketing",1.5,8.0,2.5,4.0,8.0,0.0,9.0,3.0,4.0,8.0
Apoyo Clerical y de Oficina,2.0,6.0,4.0,5.0,7.0,,7.0,5.0,5.0,7.0
"Profesionales Legales, Sociales y de Bienestar",1.0,9.0,6.0,1.0,7.0,0.0,9.0,6.0,2.0,7.0
Gerentes Especialistas,6.0,7.0,1.0,5.0,5.0,6.0,6.0,4.0,2.0,6.0
Profesionales de la Salud,1.0,10.0,1.0,3.0,9.0,0.0,8.0,2.0,6.0,8.0
Profesionales de la Educación,3.0,8.0,5.0,2.0,6.0,2.0,10.0,5.0,2.0,5.0
Gerentes Especialistas,2.0,8.0,3.0,4.0,7.0,0.5,9.0,1.5,5.0,8.0
"Gerentes de Hospitalidad, Retail y Servicios",4.0,7.5,3.5,2.0,7.0,0.5,7.5,3.5,3.5,9.0
Gerentes Especialistas,1.0,9.0,2.0,5.0,7.0,1.0,8.0,3.0,5.0,7.0
Profesionales de Tecnologías de la Información y Comunicación,2.0,9.0,2.0,3.0,8.0,1.0,9.0,3.0,3.0,8.0
"Gerentes de Hospitalidad, Retail y Servicios",2.0,7.5,4.0,4.0,6.5,0.5,8.0,5.0,3.5,7.0
Oficios de Electrotecnología y Telecomunicaciones,1.5,10.0,2.0,3.5,7.0,0.0,10.0,2.0,5.0,7.0
"Profesionales de Negocios, Recursos Humanos y Marketing",1.5,7.6,2.8999,4.0,8.0,,9.0,3.0,4.0,8.0
Gerentes Especialistas,3.0,8.0,1.0,2.0,10.0,0.0,10.0,2.0,2.0,10.0
Gerentes de Oficina y Administradores de Programas,1.0,7.0,1.0,8.0,7.0,0.0,7.0,5.0,5.0,7.0
Obreros de Construcción y Minería,1.0,8.0,3.0,6.0,6.0,2.0,8.0,2.0,6.0,6.0
Otros Clericales y Administrativos,4.0,7.5,1.5,3.0,8.0,0.0,7.5,1.5,5.0,10.0
"Profesionales de Negocios, Recursos Humanos y Marketing",2.5,9.0,2.5,2.5,7.5,0.0,9.5,2.5,4.5,7.5
"Gerentes de Hospitalidad, Retail y Servicios",2.0,9.0,0.0,5.0,8.0,2.0,9.0,0.0,5.0,8.0
Gerentes Especialistas,1.5,10.0,1.0,3.0,8.5,0.0,11.0,2.0,2.0,9.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",3.0,10.0,2.0,2.0,7.0,0.0,12.0,2.0,2.0,8.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,9.0,2.0,3.0,8.0,0.5,9.5,2.0,4.0,8.0
Profesionales de Tecnologías de la Información y Comunicación,3.0,8.0,3.0,2.0,8.0,1.0,9.0,3.0,3.0,8.0
Otros Clericales y Administrativos,3.0,8.0,3.5,4.0,5.5,0.0,9.0,4.0,5.0,6.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",2.0,7.0,3.0,4.0,8.0,0.0,9.0,4.0,3.0,8.0
Oficios de Alimentación,10.0,2.0,8.0,2.0,2.0,10.0,6.0,2.0,4.0,2.0
Apoyo Clerical y de Oficina,2.5,7.5,3.0,4.0,7.0,0.0,8.0,4.0,4.0,8.0
Gerentes Especialistas,5.0,8.0,2.0,2.0,7.0,0.0,10.0,3.0,3.0,8.0
Profesionales de la Salud,2.0,8.0,1.0,5.0,8.0,0.0,8.0,2.0,6.0,8.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",4.0,7.5,2.0,3.5,7.0,0.5,8.0,2.0,6.5,7.0
"Profesionales Legales, Sociales y de Bienestar",1.0,7.0,7.0,2.0,7.0,0.5,9.0,5.5,2.0,7.0
Profesionales de Tecnologías de la Información y Comunicación,2.5,8.0,2.0,3.5,8.0,0.5,9.0,2.0,4.5,8.0
"Profesionales Legales, Sociales y de Bienestar",2.0,9.0,2.0,3.0,8.0,0.5,9.5,3.0,2.0,9.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,8.0,2.0,5.0,7.0,0.0,9.0,2.0,6.0,7.0
Gerentes Especialistas,2.0,8.0,2.0,6.0,6.0,0.0,10.0,2.0,6.0,6.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,11.0,3.0,2.0,6.0,1.0,11.0,2.0,4.0,6.0
Gerentes Especialistas,1.0,9.0,3.0,3.0,8.0,0.0,8.0,4.0,4.0,8.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.25,8.0,2.75,7.0,6.0,0.25,6.0,3.75,8.0,6.0
Agricultores y Gerentes de Granjas,2.0,5.0,3.0,6.0,8.0,4.0,3.0,5.0,5.0,7.0
Profesionales de la Educación,2.0,10.0,1.0,3.0,8.0,1.0,8.0,3.0,4.0,8.0
Gerentes Especialistas,1.5,8.0,2.5,4.0,8.0,0.0,8.0,4.0,4.0,8.0
Gerentes Especialistas,6.0,8.0,1.0,3.0,6.0,7.0,8.0,1.0,2.0,6.0
Profesionales de la Educación,0.5,8.0,3.0,5.0,7.5,0.0,8.0,3.0,6.0,7.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",6.0,6.0,2.0,2.0,8.0,4.0,8.0,3.0,2.0,7.0
Asistentes Personales y Secretarias,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0
Profesionales de la Salud,1.5,8.0,2.0,3.5,9.0,0.0,8.0,3.0,4.0,9.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,7.5,3.0,5.5,7.0,0.0,8.0,3.0,6.0,7.0
Servicio de Protección,2.0,6.0,4.0,4.0,8.0,2.0,7.0,5.0,3.0,7.0
Profesionales de las Artes y los Medios,10.0,4.0,3.0,1.0,6.0,10.0,3.0,2.0,2.0,7.0
Gerentes Especialistas,0.5,9.0,3.5,5.0,6.0,0.5,7.0,2.5,8.0,6.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",3.0,6.0,4.0,5.0,6.0,3.0,6.0,4.0,5.0,6.0
Agricultores y Gerentes de Granjas,2.0,8.0,4.0,2.0,8.0,1.0,8.0,2.5,2.5,10.0
Gerentes de Oficina y Administradores de Programas,4.0,5.0,2.0,4.0,9.0,5.0,5.0,2.0,4.0,8.0
Gerentes de Oficina y Administradores de Programas,1.0,8.0,2.0,5.0,8.0,4.0,8.0,2.0,2.0,8.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",1.0,2.5,4.0,8.5,8.0,0.2,2.0,0.2,13.6,8.0
Gerentes Especialistas,0.5,6.0,5.0,5.0,7.5,1.0,6.0,5.0,4.0,8.0
Gerentes de Oficina y Administradores de Programas,2.0,8.0,3.0,2.0,9.0,5.0,9.0,1.0,1.0,8.0
Profesionales de las Artes y los Medios,0.0,10.0,0.0,7.0,7.0,0.0,10.0,0.0,7.0,7.0
Gerentes Especialistas,4.0,4.0,4.0,8.0,4.0,1.0,8.0,3.0,6.0,6.0
"Profesionales de Negocios, Recursos Humanos y Marketing",3.0,8.0,4.0,2.0,7.0,3.0,7.0,3.0,2.0,9.0
Profesionales de la Educación,4.0,8.0,5.0,2.0,5.0,4.0,8.0,7.0,3.0,2.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,6.0,1.0,6.0,10.0,0.0,6.0,3.0,7.0,8.0
Profesionales de la Educación,1.0,9.0,1.0,5.0,8.0,0.0,9.0,1.0,6.0,8.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,4.0,6.0,7.0,5.0,2.0,6.0,2.0,7.0,7.0
Clerical General,0.5,8.0,6.5,2.0,7.0,0.0,8.0,3.0,4.0,9.0
Profesionales de las Artes y los Medios,0.0,8.0,2.0,4.0,10.0,0.0,9.0,2.0,3.0,10.0
Profesionales de la Educación,1.0,8.0,2.0,5.0,8.0,0.5,7.0,2.5,6.0,8.0
"Profesionales de Negocios, Recursos Humanos y Marketing",3.0,8.0,3.0,2.0,8.0,0.0,6.0,2.0,8.0,8.0
"Profesionales Legales, Sociales y de Bienestar",2.0,10.0,2.0,3.0,7.0,0.5,10.0,1.0,4.5,8.0
Gerentes Especialistas,2.0,8.0,3.0,3.0,8.0,1.0,8.0,3.0,4.0,8.0
Profesionales de la Salud,3.0,8.0,6.0,0.0,7.0,1.5,8.0,6.0,1.5,7.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",2.0,8.0,4.0,2.0,8.0,0.5,6.0,5.0,4.5,8.0
Gerentes Especialistas,1.5,8.0,3.0,4.5,7.0,2.0,6.0,2.0,6.0,8.0
"Profesionales de Negocios, Recursos Humanos y Marketing",1.0,8.0,2.0,5.0,8.0,0.0,8.0,1.0,6.0,9.0
Gerentes Especialistas,2.0,6.0,1.0,8.0,7.0,0.0,10.0,1.0,6.0,7.0
Gerentes Especialistas,3.0,8.0,2.0,3.0,8.0,3.0,8.0,3.0,2.0,8.0
Operadores de Máquinas y Plantas Estacionarias,2.0,10.0,1.0,3.0,8.0,2.0,10.0,2.0,2.0,8.0
Profesionales de Tecnologías de la Información y Comunicación,1.5,7.0,3.5,4.0,8.0,1.0,8.0,4.0,3.0,8.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,7.0,4.0,4.0,7.0,2.0,7.0,4.0,4.0,7.0
Oficios de Construcción,1.0,8.0,1.0,4.0,10.0,1.0,8.0,3.0,4.0,8.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",6.0,8.0,4.0,4.0,2.0,6.0,8.0,4.0,3.0,3.0
Gerentes Especialistas,1.0,2.0,5.0,8.0,8.0,1.0,8.0,4.0,3.0,8.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,7.0,2.0,5.0,8.0,3.0,6.0,2.0,7.0,6.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.5,9.0,3.0,3.0,6.5,0.0,10.0,3.0,4.0,7.0
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",1.0,9.0,0.5,5.5,8.0,0.0,9.0,1.0,6.0,8.0
Gerentes Especialistas,2.0,8.0,3.0,4.0,7.0,1.0,9.0,4.0,3.0,7.0
"Gerentes de Hospitalidad, Retail y Servicios",2.0,6.0,5.0,5.0,6.0,4.0,4.0,8.0,4.0,4.0
Profesionales de Tecnologías de la Información y Comunicación,4.0,4.0,4.0,4.0,8.0,4.0,4.0,4.0,4.0,8.0
Servicio de Protección,1.0,8.0,5.0,2.0,8.0,1.0,8.0,5.0,2.0,8.0
Gerentes Especialistas,2.0,9.0,1.0,6.0,6.0,0.0,10.0,2.0,4.0,8.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.5,9.5,2.5,2.0,7.5,0.5,10.0,3.0,3.0,7.5
Clerical General,0.0,10.0,4.0,5.0,5.0,0.0,18.0,2.0,2.0,2.0
Gerentes Especialistas,3.0,10.0,1.0,4.0,6.0,0.0,10.0,2.0,6.0,6.0
Soporte de Ventas,4.0,5.0,3.0,4.0,8.0,,5.0,3.0,8.0,8.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,9.0,,5.0,9.0,2.0,8.0,1.0,3.0,10.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",10.0,4.0,10.0,,,4.0,10.0,,10.0,
Asistentes Personales y Secretarias,2.0,8.0,6.0,2.0,6.0,1.0,8.0,5.0,4.0,6.0
Clerical General,1.0,8.0,3.0,5.0,7.0,2.0,8.0,3.0,3.0,8.0
"Profesionales de Negocios, Recursos Humanos y Marketing",2.0,8.0,2.0,4.0,8.0,0.0,8.0,2.0,6.0,8.0
Apoyo Clerical y de Oficina,2.0,8.0,5.0,3.0,6.0,0.0,8.0,3.0,5.0,8.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,8.0,4.0,4.0,6.0,0.0,9.0,3.0,5.0,7.0
Gerentes Especialistas,1.0,6.0,6.0,3.0,8.0,1.0,8.0,4.0,3.0,8.0
Profesionales de Tecnologías de la Información y Comunicación,1.5,8.0,0.0,7.5,7.0,0.5,8.0,0.0,8.5,7.0
Gerentes Especialistas,3.0,9.0,2.0,2.0,8.0,3.0,10.0,1.0,2.0,8.0
Gerentes Especialistas,3.0,7.0,2.0,4.0,8.0,1.0,7.0,3.0,5.0,8.0
Representantes y Agentes de Ventas,3.0,6.0,3.0,4.0,8.0,1.0,7.0,4.0,4.0,8.0
Apoyo Clerical y de Oficina,2.0,8.0,2.0,6.0,6.0,0.0,8.0,2.0,6.0,8.0
Profesionales de Tecnologías de la Información y Comunicación,3.0,8.0,3.0,2.0,8.0,0.0,8.0,2.0,5.0,9.0
Gerentes Especialistas,1.0,11.0,2.0,2.0,8.0,0.0,12.0,2.0,2.0,8.0
Gerentes Especialistas,5.0,9.0,1.0,1.0,8.0,0.0,10.0,3.0,2.0,9.0
Oficios de Electrotecnología y Telecomunicaciones,4.0,4.0,4.0,6.0,6.0,3.0,5.0,3.0,6.0,7.0
Clerical General,3.0,3.0,10.0,3.0,5.0,3.0,2.0,3.0,5.0,11.0
Asistentes Personales y Secretarias,4.0,8.0,2.0,3.0,7.0,0.0,10.0,4.0,4.0,6.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,9.0,2.0,3.0,8.0,1.0,10.0,2.0,3.0,8.0
Representantes y Agentes de Ventas,2.0,9.0,,5.0,8.0,0.0,9.0,,7.0,8.0
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",0.0,10.0,1.0,5.0,8.0,0.0,10.0,1.0,5.0,8.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,7.0,4.0,4.0,7.0,0.0,6.0,8.0,3.0,7.0
Gerentes Especialistas,2.0,6.0,6.0,2.0,8.0,1.0,8.0,5.0,2.0,8.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,7.0,3.0,6.0,7.0,0.0,7.0,3.0,7.0,7.0
Gerentes Especialistas,2.0,8.0,2.0,4.0,8.0,2.0,8.0,2.0,4.0,8.0
Gerentes Especialistas,3.0,8.0,2.0,3.0,8.0,0.0,8.0,3.0,5.0,8.0
Profesionales de la Educación,2.0,9.0,3.0,3.0,7.0,0.5,10.5,3.0,3.0,7.0
Gerentes Especialistas,1.0,8.0,5.0,4.0,6.0,0.0,10.0,5.0,3.0,6.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",4.0,2.0,10.0,2.0,6.0,2.0,12.0,2.0,2.0,6.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,8.0,3.0,5.0,8.0,0.0,8.0,3.0,5.0,8.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,10.0,4.0,4.0,6.0,2.0,10.0,3.0,4.0,5.0
Clerical General,2.0,8.0,4.0,4.0,6.0,2.0,8.0,2.0,4.0,8.0
Gerentes Especialistas,2.0,11.0,3.0,3.0,5.0,0.5,9.0,4.5,4.0,6.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.5,8.0,2.0,4.5,8.0,0.0,8.0,2.0,6.0,8.0
"Profesionales de Negocios, Recursos Humanos y Marketing",3.0,7.0,3.0,4.0,7.0,1.0,7.0,4.0,5.0,7.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",4.0,8.0,2.0,4.0,6.0,4.0,8.0,2.0,4.0,6.0
Profesionales de Tecnologías de la Información y Comunicación,4.0,7.0,4.0,1.0,8.0,2.0,10.0,3.0,2.0,7.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,11.0,2.0,2.0,7.0,0.5,11.0,2.5,3.0,7.0
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
Gerentes Especialistas,3.0,8.0,2.0,3.0,8.0,,10.0,3.0,3.0,8.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.5,9.0,2.0,2.5,8.0,1.0,10.0,3.0,2.0,8.0
Gerentes Especialistas,1.0,8.0,3.0,4.0,8.0,0.0,8.0,4.0,4.0,8.0
Profesionales de la Educación,2.0,8.0,2.0,2.0,10.0,1.0,8.0,2.0,3.0,10.0
Gerentes Especialistas,2.0,9.0,3.0,3.0,7.0,2.0,9.0,3.0,3.0,7.0
Gerentes Especialistas,2.0,8.0,1.0,3.0,10.0,3.0,8.0,2.0,3.0,8.0
"Profesionales Legales, Sociales y de Bienestar",2.0,11.0,3.0,2.0,6.0,0.0,9.0,3.0,6.0,6.0
Otros Clericales y Administrativos,1.5,8.5,3.0,3.0,8.0,0.0,8.5,4.0,3.5,8.0
Clerical General,0.0,10.0,2.0,2.0,10.0,0.0,8.0,2.0,1.0,13.0
"Profesionales de Negocios, Recursos Humanos y Marketing",2.0,11.0,1.0,3.0,7.0,0.0,12.0,1.0,3.0,8.0
Apoyo Clerical y de Oficina,1.0,8.0,4.0,3.0,8.0,0.0,8.0,4.0,4.0,8.0
Otros Clericales y Administrativos,1.0,8.0,0.0,8.0,7.0,1.0,8.0,0.0,8.0,7.0
Gerentes Especialistas,2.0,7.0,3.0,4.0,8.0,1.0,9.0,2.0,4.0,8.0
"Profesionales de Negocios, Recursos Humanos y Marketing",1.5,7.5,1.0,4.0,10.0,1.5,8.5,2.0,2.0,10.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,8.0,3.0,3.0,8.0,2.0,8.0,3.0,3.0,8.0
Profesionales de la Educación,7.0,8.0,2.0,2.0,5.0,6.0,9.0,2.0,2.0,5.0
Oficios de Construcción,1.0,7.0,3.0,5.0,8.0,0.0,8.0,3.0,5.0,8.0
Profesionales de la Salud,1.5,7.0,3.5,4.0,8.0,0.5,7.0,4.0,4.0,8.5
"Directores Ejecutivos, Gerentes Generales y Legisladores",3.0,20.0,,1.0,,2.0,2.0,,20.0,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",3.0,9.0,3.0,3.0,6.0,0.0,10.0,3.0,3.0,8.0
Operadores de Equipos Móviles,3.0,10.0,5.0,3.0,3.0,3.0,6.0,3.0,5.0,7.0
Profesionales de Tecnologías de la Información y Comunicación,2.0,7.5,2.0,4.5,8.0,0.0,7.5,2.0,6.5,8.0
"Profesionales Legales, Sociales y de Bienestar",3.0,8.0,2.0,4.0,7.0,0.5,8.0,3.0,5.5,7.0
"Profesionales de Negocios, Recursos Humanos y Marketing",8.0,3.0,3.0,2.0,8.0,6.0,3.0,3.0,5.0,7.0
Conductores de Carretera y Ferrocarril,0.5,6.0,1.5,6.0,10.0,0.0,6.0,1.5,6.5,10.0
Gerentes de Oficina y Administradores de Programas,3.0,9.0,3.0,3.0,6.0,1.0,10.0,3.0,3.0,7.0
Profesionales de las Artes y los Medios,1.5,7.0,1.0,5.5,9.0,0.0,7.0,2.0,6.0,9.0
Profesionales de Tecnologías de la Información y Comunicación,3.0,8.0,5.0,1.0,7.0,0.0,9.0,3.0,4.0,8.0
Oficios de Alimentación,5.0,6.0,5.0,5.0,3.0,5.0,1.0,5.0,5.0,8.0
Profesionales de Tecnologías de la Información y Comunicación,5.0,5.0,3.0,5.0,6.0,5.0,5.0,3.0,5.0,6.0
Gerentes Especialistas,2.0,8.0,3.0,3.0,8.0,0.0,10.0,4.0,2.0,8.0
Conductores de Carretera y Ferrocarril,2.0,8.0,2.0,5.0,7.0,1.0,8.0,5.0,3.0,7.0
Clerical General,0.0,7.0,4.0,3.0,10.0,0.0,7.0,4.0,3.0,10.0
"Profesionales de Negocios, Recursos Humanos y Marketing",9.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,7.0
Apoyo Clerical y de Oficina,2.0,7.0,2.0,6.0,7.0,,7.0,3.0,6.0,8.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,10.0,4.0,2.0,6.0,2.0,10.0,3.0,4.0,5.0
Representantes y Agentes de Ventas,2.0,8.0,3.0,3.0,8.0,1.0,8.0,3.0,4.0,8.0
Gerentes Especialistas,2.0,8.0,4.0,2.0,8.0,1.0,8.0,4.0,4.0,7.0
Profesionales de la Salud,3.0,6.0,4.0,4.0,7.0,1.0,6.0,6.0,4.0,7.0
Clerical General,1.0,8.0,3.0,4.0,8.0,1.0,7.0,2.0,5.0,9.0
Profesionales de la Educación,2.0,8.0,3.0,5.0,6.0,0.0,10.0,3.0,5.0,6.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",3.0,5.0,3.0,5.0,8.0,5.0,4.0,4.0,7.0,4.0
"Gerentes de Hospitalidad, Retail y Servicios",1.0,8.0,3.0,5.0,7.0,0.0,5.0,5.0,7.0,7.0
Profesionales de la Salud,2.0,8.0,,6.0,8.0,1.0,8.0,,7.0,8.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",10.0,1.0,2.0,10.0,1.0,,,,24.0,
Gerentes Especialistas,1.0,7.0,4.0,4.0,8.0,1.0,7.0,3.0,3.0,10.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,8.0,2.0,5.0,7.0,0.0,8.0,2.0,7.0,7.0
Profesionales de Tecnologías de la Información y Comunicación,0.0,8.0,6.0,3.0,7.0,0.0,8.0,4.0,5.0,7.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,9.0,2.0,4.0,8.0,0.5,9.5,2.0,4.0,8.0
Gerentes Especialistas,4.0,8.0,3.0,1.0,8.0,0.0,8.0,4.0,4.0,8.0
"Granja, Silvicultura y Jardín",1.0,6.0,4.0,6.0,7.0,1.0,7.0,4.5,4.5,7.0
Otros Clericales y Administrativos,0.0,8.0,5.0,4.0,7.0,0.0,8.0,5.0,4.0,7.0
Gerentes Especialistas,1.5,8.5,5.5,2.0,6.5,0.5,8.0,5.5,3.0,7.0
Profesionales de la Educación,1.5,9.5,3.0,6.0,4.0,0.0,12.0,2.0,4.0,6.0
Otros Técnicos y Oficios,2.0,8.0,2.0,4.0,8.0,0.0,8.0,2.0,6.0,8.0
Gerentes Especialistas,4.0,8.0,1.0,4.0,7.0,1.0,10.0,1.0,4.0,8.0
Gerentes Especialistas,5.0,5.0,5.0,5.0,4.0,2.0,2.0,2.0,4.0,14.0
Gerentes Especialistas,2.0,8.0,4.0,3.0,7.0,0.0,8.0,4.0,4.0,8.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,8.0,4.0,4.0,7.0,0.0,8.0,4.0,5.0,7.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,7.0,5.0,4.0,8.0,0.0,7.0,3.0,6.0,8.0
Obreros de Construcción y Minería,1.0,8.0,3.0,4.0,8.0,1.0,8.0,3.0,4.0,8.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,9.0,2.0,3.0,9.0,0.0,9.0,4.0,3.0,8.0
"Profesionales de Negocios, Recursos Humanos y Marketing",2.0,8.0,2.0,4.0,8.0,1.0,8.0,4.0,4.0,7.0
