occupation_d,¿Tu empleador ha cambiado o actualizado su política sobre el trabajo remoto desde COVID-19?,¿Has trabajado alguna vez parte de tu día de forma remota y parte en el lugar de trabajo de tu empleador (2021)?,¿Con qué frecuencia trabajas de esta manera?,¿Con qué frecuencia te gustaría trabajar de esta manera?,¿Tu empleador tiene una política que requiere que los trabajadores estén en el lugar de trabajo del empleador parte del tiempo?,¿Cuánto tiempo de tu jornada laboral requiere la política de tu empleador que estés en su lugar de trabajo?,(prw) La política de trabajo remoto de mi empleador me conviene,(prw) Puedo elegir cuánto trabajo hago de forma remota,(prw) Elijo en qué días trabajo de forma remota,(prw) Mi supervisor directo tiene la discreción de permitir o denegar el trabajo remoto,¿Cómo te sientes acerca de la política de trabajo remoto de tu empleador?,¿Estarías interesado/a en negociar el trabajo remoto?,¿Cuál es la mayor reducción de salario que aceptarías?
Hospitalidad,Yes,Yes,80.0,100.0,Yes,60%,-2,1,0,0,Somewhat Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,No,,,No,,2,2,2,1,Strongly Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,20.0,10.0,Yes,Less than 10% of my time,2,1,2,1,Strongly Positive,Yes,0.05
Otros Técnicos y Oficios,Yes,No,,,Unsure,,2,2,2,1,Strongly Positive,No,
Apoyo de Salud y Bienestar,Yes,No,,,No,,1,-1,0,1,Neither positive nor negative,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,50.0,Yes,20%,1,1,1,1,Somewhat Positive,Yes,0.1
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,90.0,60.0,Yes,40%,2,1,1,1,Somewhat Positive,Yes,0.1
Representantes y Agentes de Ventas,No,Yes,50.0,20.0,Yes,50% - About half of my time,0,1,2,1,Somewhat Positive,No,
Otros Obreros,Yes,No,,,Yes,60%,0,-2,-2,2,Neither positive nor negative,No,
Clerks Numéricos,No,No,,,No,,2,2,2,2,Somewhat Positive,Yes,0.05
Apoyo Clerical y de Oficina,Yes,Yes,90.0,90.0,Unsure,,1,2,1,1,Somewhat Positive,Yes,0.02
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,No,,,Yes,40%,1,-1,0,2,Neither positive nor negative,Yes,0.1
Agricultores y Gerentes de Granjas,Yes,Yes,30.0,30.0,Yes,20%,-1,-1,1,0,Neither positive nor negative,Yes,0.1
Otros Técnicos y Oficios,No,No,,,No,,2,2,2,-2,Somewhat Positive,Yes,0.6
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,60.0,70.0,Unsure,,2,0,1,1,Strongly Positive,No,
Profesionales de la Educación,No,No,,,No,,2,1,1,0,Neither positive nor negative,No,
Profesionales de la Educación,Yes,No,,,Yes,20%,-1,-1,-2,-1,Somewhat Positive,Yes,0.28
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,20.0,10.0,Yes,20%,1,1,1,2,Neither positive nor negative,Yes,0.3
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,40.0,50.0,Yes,40%,-1,-2,-2,-1,Strongly Positive,Yes,0.1
Otros Clericales y Administrativos,Yes,Yes,10.0,20.0,No,,-1,-1,-1,-1,Somewhat Negative,Yes,0.1
Gerentes Especialistas,Yes,Yes,30.0,30.0,Yes,30%,1,2,2,1,Strongly Positive,Yes,0.1
Gerentes Especialistas,No,No,,,No,,0,-2,-2,2,Neither positive nor negative,No,
Gerentes Especialistas,Yes,Yes,60.0,80.0,No,,0,1,1,-1,Somewhat Positive,No,
Gerentes Especialistas,Yes,Yes,30.0,30.0,Yes,30%,1,2,2,1,Strongly Positive,Yes,0.1
Apoyo Clerical y de Oficina,Yes,Yes,50.0,50.0,Yes,50% - About half of my time,1,-1,-1,-1,Somewhat Positive,No,
Apoyo Clerical y de Oficina,Yes,Yes,10.0,10.0,Unsure,,1,1,0,1,Somewhat Positive,No,
Clerical General,No,Yes,50.0,100.0,Unsure,,0,0,1,1,Somewhat Positive,Yes,0.02
Profesionales de la Salud,No,Yes,40.0,40.0,No,,0,1,0,0,Somewhat Positive,No,
Apoyo Clerical y de Oficina,Yes,No,,,Yes,50% - About half of my time,2,1,2,1,Strongly Positive,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,80.0,100.0,Yes,50% - About half of my time,1,2,2,2,Somewhat Positive,Yes,0.05
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,100.0,100.0,Yes,100% - All of my time,2,2,2,2,Strongly Positive,Yes,0.99
Apoyo de Salud y Bienestar,Yes,Yes,10.0,10.0,Yes,60%,1,2,-1,1,Somewhat Positive,No,
Otros Clericales y Administrativos,No,No,,,No,,2,-2,2,-2,Neither positive nor negative,No,
Oficios de Electrotecnología y Telecomunicaciones,Yes,Yes,80.0,20.0,No,,1,1,2,2,Somewhat Positive,No,
Profesionales de la Educación,Yes,No,,,Yes,50% - About half of my time,1,-1,1,2,Somewhat Positive,Yes,0.05
"Profesionales Legales, Sociales y de Bienestar",No,No,,,No,,2,2,2,2,Strongly Positive,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,50.0,50.0,No,,1,2,2,0,Somewhat Positive,No,
Clerks de Consultas y Recepcionistas,No,Yes,50.0,50.0,Yes,50% - About half of my time,2,2,-2,2,Strongly Positive,Yes,0.1
Gerentes de Oficina y Administradores de Programas,Yes,Yes,60.0,60.0,Unsure,,2,1,1,1,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,Yes,100.0,100.0,No,,1,1,1,1,Strongly Positive,No,
Otros Clericales y Administrativos,Yes,No,,,No,,2,0,0,0,Strongly Positive,No,
Apoyo Clerical y de Oficina,Yes,No,,,Yes,10%,2,-1,-2,1,Strongly Positive,No,
Profesionales de la Educación,No,No,,,Yes,100% - All of my time,1,-2,0,-2,Somewhat Positive,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,No,,,Yes,60%,1,-1,-1,1,Somewhat Positive,No,
Operadores de Máquinas y Plantas Estacionarias,No,Yes,10.0,50.0,Unsure,,2,2,2,2,Strongly Positive,Yes,0.5
Asistentes y Vendedores,Yes,Yes,60.0,80.0,Yes,30%,1,1,1,1,Somewhat Positive,No,
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,20.0,50.0,Unsure,,-1,-2,-2,1,Neither positive nor negative,No,
Asistentes y Vendedores,Yes,Yes,20.0,10.0,Yes,70%,1,2,2,2,Strongly Positive,Yes,0.05
Oficios de Electrotecnología y Telecomunicaciones,Yes,Yes,40.0,10.0,No,,-1,-1,-2,0,Neither positive nor negative,Yes,0.2
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,30.0,Unsure,,1,2,1,2,Strongly Positive,Yes,0.55
Asistentes Personales y Secretarias,Yes,Yes,50.0,40.0,Yes,20%,0,-2,-1,1,Neither positive nor negative,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,20.0,No,,1,0,1,2,Somewhat Positive,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,No,,,Yes,60%,2,-1,2,1,Neither positive nor negative,Yes,0.1
Apoyo Clerical y de Oficina,No,No,,,Unsure,,2,-2,0,2,Somewhat Positive,Yes,0.2
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,10.0,20.0,No,,2,2,2,-1,Strongly Positive,No,
Gerentes Especialistas,No,Yes,70.0,30.0,No,,-1,-2,2,-1,Neither positive nor negative,No,
Profesionales de la Salud,No,No,,,No,,2,2,2,2,Strongly Positive,No,
Profesionales de la Educación,Yes,No,,,Yes,100% - All of my time,0,-2,-2,1,Neither positive nor negative,No,
Gerentes Especialistas,Yes,Yes,40.0,50.0,Yes,40%,1,1,-1,1,Somewhat Positive,No,
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,10.0,10.0,No,,1,2,2,-1,Strongly Positive,Yes,0.2
Gerentes Especialistas,Yes,Yes,10.0,10.0,No,,2,2,2,-2,Strongly Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,50.0,50.0,Yes,50% - About half of my time,1,0,2,0,Somewhat Positive,No,
"Gerentes de Hospitalidad, Retail y Servicios",No,Yes,20.0,10.0,Yes,50% - About half of my time,0,0,1,0,Somewhat Positive,No,
Oficios de Electrotecnología y Telecomunicaciones,No,Yes,10.0,10.0,No,,1,-1,-2,2,Somewhat Positive,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,Yes,10.0,30.0,Yes,100% - All of my time,0,-2,-2,2,Neither positive nor negative,No,
Gerentes Especialistas,Yes,No,,,No,,2,2,2,0,Somewhat Positive,No,
Gerentes de Oficina y Administradores de Programas,Yes,Yes,10.0,20.0,No,,2,2,2,2,Strongly Positive,No,
Obreros de Construcción y Minería,No,Yes,40.0,50.0,No,,2,0,-1,2,Somewhat Positive,No,
Otros Clericales y Administrativos,Yes,No,,,No,,2,1,1,1,Strongly Positive,Yes,0.02
"Profesionales de Negocios, Recursos Humanos y Marketing",No,No,,,Yes,40%,2,1,1,-1,Strongly Positive,No,
"Gerentes de Hospitalidad, Retail y Servicios",No,Yes,90.0,90.0,Unsure,,-2,-2,-2,-2,Neither positive nor negative,No,
Gerentes Especialistas,Yes,No,,,Yes,40%,2,1,1,2,Somewhat Positive,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,20.0,20.0,Yes,40%,2,2,2,2,Strongly Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,70.0,50.0,Yes,60%,1,1,1,1,Somewhat Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,No,No,,,No,,2,2,2,2,Somewhat Positive,No,
Otros Clericales y Administrativos,Yes,No,,,No,,2,2,2,-2,Strongly Positive,Yes,0.05
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,No,,,No,,2,2,2,2,Strongly Positive,No,
Oficios de Alimentación,Yes,No,,,No,,-2,-2,-1,-1,Neither positive nor negative,Yes,0.5
Apoyo Clerical y de Oficina,Yes,No,,,Yes,100% - All of my time,-2,-2,-2,1,Somewhat Negative,Yes,0.01
Gerentes Especialistas,No,No,,,Unsure,,2,2,2,0,Strongly Positive,No,
Profesionales de la Salud,No,No,,,Yes,100% - All of my time,1,-2,-2,-1,Neither positive nor negative,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,Yes,10.0,30.0,Unsure,,0,0,0,1,Neither positive nor negative,No,
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,10.0,10.0,Yes,40%,2,2,2,2,Strongly Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,10.0,10.0,Yes,20%,1,1,1,-1,Somewhat Positive,No,
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,10.0,10.0,No,,1,1,1,1,Somewhat Positive,Yes,0.15
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,Yes,50.0,50.0,No,,2,1,2,2,Strongly Positive,No,
Gerentes Especialistas,Yes,Yes,50.0,20.0,No,,0,-2,1,2,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,100.0,100.0,Yes,100% - All of my time,-1,-1,-1,0,Somewhat Positive,Yes,0.05
Gerentes Especialistas,Yes,Yes,10.0,10.0,Yes,90%,0,-1,1,2,Somewhat Positive,Yes,0.1
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,Yes,10.0,10.0,No,,2,2,2,0,Strongly Positive,No,
Agricultores y Gerentes de Granjas,Yes,No,,,Yes,50% - About half of my time,-1,2,1,0,Neither positive nor negative,Yes,0.89
Profesionales de la Educación,Yes,No,,,Yes,100% - All of my time,0,-2,2,-1,Strongly Positive,No,
Gerentes Especialistas,Yes,Yes,80.0,100.0,Yes,20%,2,1,1,0,Somewhat Positive,Yes,0.1
Gerentes Especialistas,Yes,Yes,20.0,10.0,Yes,20%,-1,-1,-1,2,Somewhat Negative,Yes,0.2
Profesionales de la Educación,Yes,Yes,60.0,50.0,Yes,Less than 10% of my time,1,1,2,-2,Strongly Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,Yes,60.0,70.0,Yes,60%,1,2,1,1,Somewhat Positive,No,
Asistentes Personales y Secretarias,Yes,Yes,30.0,50.0,No,,1,1,1,0,Somewhat Positive,No,
Profesionales de la Salud,Yes,Yes,10.0,20.0,Yes,80%,2,1,2,2,Strongly Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,40.0,No,,1,1,1,0,Somewhat Positive,Yes,0.1
Servicio de Protección,Yes,Yes,30.0,40.0,Yes,80%,1,1,-1,0,Somewhat Positive,No,
Profesionales de las Artes y los Medios,Yes,Yes,60.0,60.0,Yes,40%,1,1,1,0,Somewhat Positive,Yes,0.15
Gerentes Especialistas,Yes,Yes,50.0,50.0,Yes,10%,1,1,1,0,Somewhat Positive,Yes,0.05
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,20.0,Yes,20%,2,1,1,2,Strongly Positive,Yes,0.05
Agricultores y Gerentes de Granjas,Yes,Yes,60.0,70.0,Yes,60%,1,1,2,2,Somewhat Positive,Yes,0.5
Gerentes de Oficina y Administradores de Programas,Yes,Yes,30.0,40.0,Yes,40%,2,1,1,1,Somewhat Positive,Yes,0.1
Gerentes de Oficina y Administradores de Programas,Yes,Yes,10.0,10.0,Yes,Less than 10% of my time,2,1,2,2,Strongly Positive,Yes,0.2
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,Yes,70.0,50.0,No,,2,0,2,2,Strongly Positive,Yes,0.1
Gerentes Especialistas,Yes,Yes,10.0,10.0,Yes,10%,1,1,0,1,Somewhat Positive,Yes,0.05
Gerentes de Oficina y Administradores de Programas,Yes,Yes,10.0,10.0,Yes,10%,2,1,1,2,Strongly Positive,Yes,0.1
Profesionales de las Artes y los Medios,No,No,,,No,,2,2,2,2,Strongly Positive,Yes,0.01
Gerentes Especialistas,Yes,Yes,10.0,30.0,Yes,70%,0,0,0,0,Somewhat Positive,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,30.0,10.0,Yes,10%,1,2,1,1,Strongly Positive,Yes,0.2
Profesionales de la Educación,Yes,Yes,30.0,80.0,Yes,40%,-1,1,1,1,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,Yes,20.0,50.0,No,,1,2,1,1,Somewhat Positive,Yes,0.03
Profesionales de la Educación,Yes,No,,,Yes,100% - All of my time,2,-2,-2,2,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,,,Yes,60%,0,1,-1,2,Neither positive nor negative,Yes,0.7
Clerical General,Yes,No,,,Unsure,,2,2,2,0,Strongly Positive,No,
Profesionales de las Artes y los Medios,No,No,,,No,,2,2,2,2,Strongly Positive,No,
Profesionales de la Educación,No,Yes,20.0,20.0,No,,0,1,1,1,Neither positive nor negative,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,No,,,No,,2,2,2,0,Strongly Positive,No,
"Profesionales Legales, Sociales y de Bienestar",Yes,No,,,Yes,60%,1,1,1,0,Somewhat Positive,No,
Gerentes Especialistas,Yes,No,,,Yes,20%,1,0,1,1,Somewhat Positive,No,
Profesionales de la Salud,No,Yes,80.0,50.0,No,,1,1,1,1,Strongly Positive,Yes,0.05
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,50.0,50.0,Yes,40%,2,2,2,2,Strongly Positive,Yes,0.05
Gerentes Especialistas,Yes,Yes,30.0,50.0,No,,1,1,2,1,Somewhat Positive,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,No,,,No,,1,0,1,1,Somewhat Positive,No,
Gerentes Especialistas,Yes,Yes,30.0,50.0,Unsure,,2,2,2,1,Strongly Positive,No,
Gerentes Especialistas,Yes,Yes,70.0,90.0,Yes,80%,2,1,1,2,Strongly Positive,Yes,0.1
Operadores de Máquinas y Plantas Estacionarias,No,No,,,No,,2,2,1,2,Strongly Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,No,Yes,30.0,30.0,Yes,70%,2,-1,2,1,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,100.0,100.0,Yes,100% - All of my time,2,2,2,2,Strongly Positive,Yes,0.8
Oficios de Construcción,Yes,No,,,Yes,50% - About half of my time,0,1,0,1,Neither positive nor negative,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,100.0,100.0,Yes,100% - All of my time,2,1,2,1,Strongly Positive,Yes,0.99
Gerentes Especialistas,Yes,Yes,20.0,20.0,Yes,20%,2,1,2,1,Strongly Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,10.0,Yes,20%,1,1,0,0,Somewhat Positive,Yes,0.33
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,50.0,Yes,70%,-1,-2,1,1,Somewhat Negative,No,
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",Yes,Yes,10.0,10.0,Yes,20%,1,1,0,1,Somewhat Positive,No,
Gerentes Especialistas,No,Yes,50.0,10.0,Yes,100% - All of my time,0,-2,-2,1,Neither positive nor negative,No,
"Gerentes de Hospitalidad, Retail y Servicios",No,Yes,10.0,10.0,Yes,10%,0,1,1,0,Somewhat Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,60.0,80.0,Yes,20%,0,1,1,0,Neither positive nor negative,Yes,0.5
Servicio de Protección,Yes,Yes,20.0,20.0,Yes,50% - About half of my time,0,0,0,0,Neither positive nor negative,No,
Gerentes Especialistas,Yes,Yes,90.0,60.0,Yes,50% - About half of my time,1,1,1,1,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,No,,,Yes,60%,1,1,2,2,Somewhat Positive,No,
Clerical General,Yes,No,,,No,,1,1,1,1,Strongly Positive,Yes,0.9
Gerentes Especialistas,Yes,Yes,50.0,30.0,No,,1,2,2,0,Strongly Positive,No,
Soporte de Ventas,No,No,,,No,,2,2,2,2,Strongly Positive,Yes,0.2
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,,,Yes,70%,1,2,2,2,Strongly Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,Yes,80.0,10.0,No,,0,0,0,0,Neither positive nor negative,Yes,0.02
Asistentes Personales y Secretarias,Yes,Yes,10.0,10.0,Yes,80%,1,1,1,2,Somewhat Positive,No,
Clerical General,Yes,Yes,100.0,100.0,Yes,100% - All of my time,2,-2,-2,0,Somewhat Positive,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,Yes,50.0,50.0,Yes,50% - About half of my time,1,1,1,1,Somewhat Positive,No,
Apoyo Clerical y de Oficina,Yes,Yes,20.0,10.0,Yes,20%,-2,-2,-1,2,Strongly Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,Yes,20.0,10.0,No,,0,-2,-2,-1,Neither positive nor negative,No,
Gerentes Especialistas,No,No,,,No,,-1,0,0,1,Neither positive nor negative,No,
Profesionales de Tecnologías de la Información y Comunicación,No,Yes,10.0,10.0,Unsure,,0,1,1,-1,Neither positive nor negative,No,
Gerentes Especialistas,Yes,Yes,60.0,60.0,Yes,60%,2,1,2,1,Somewhat Positive,No,
Gerentes Especialistas,Yes,Yes,100.0,70.0,No,,2,1,2,2,Strongly Positive,Yes,0.05
Representantes y Agentes de Ventas,Yes,Yes,60.0,20.0,Yes,50% - About half of my time,2,0,2,1,Somewhat Positive,No,
Apoyo Clerical y de Oficina,No,Yes,100.0,50.0,Yes,100% - All of my time,1,-2,-2,2,Somewhat Negative,Yes,0.1
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,10.0,10.0,Yes,Less than 10% of my time,1,2,2,1,Somewhat Positive,No,
Gerentes Especialistas,No,Yes,50.0,50.0,Yes,50% - About half of my time,-1,0,1,0,Neither positive nor negative,Yes,0.02
Gerentes Especialistas,Yes,Yes,40.0,60.0,Yes,80%,0,1,1,0,Somewhat Positive,No,
Oficios de Electrotecnología y Telecomunicaciones,Yes,Yes,10.0,10.0,Yes,Less than 10% of my time,0,2,2,2,Strongly Positive,Yes,0.05
Clerical General,No,Yes,30.0,50.0,No,,1,1,2,0,Neither positive nor negative,No,
Asistentes Personales y Secretarias,Yes,No,,,Yes,50% - About half of my time,0,0,1,1,Neither positive nor negative,Yes,0.05
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,10.0,10.0,Yes,10%,2,1,2,2,Strongly Positive,No,
Representantes y Agentes de Ventas,Yes,Yes,50.0,80.0,Yes,50% - About half of my time,2,1,2,-2,Strongly Positive,No,
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",Yes,Yes,70.0,70.0,Yes,30%,1,1,1,2,Strongly Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,40.0,80.0,Yes,50% - About half of my time,1,-1,1,2,Somewhat Positive,No,
Gerentes Especialistas,No,No,,,No,,1,1,1,0,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,10.0,10.0,Yes,50% - About half of my time,1,1,1,1,Somewhat Positive,No,
Gerentes Especialistas,No,Yes,40.0,20.0,Unsure,,0,1,0,0,Neither positive nor negative,No,
Gerentes Especialistas,No,Yes,50.0,50.0,No,,0,1,0,1,Somewhat Positive,Yes,0.1
Profesionales de la Educación,Yes,Yes,100.0,100.0,Yes,20%,1,-1,-1,-1,Neither positive nor negative,No,
Gerentes Especialistas,Yes,No,,,Yes,40%,2,2,2,1,Somewhat Positive,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,10.0,40.0,No,,0,-1,1,-2,Neither positive nor negative,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,,,No,,2,2,2,1,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,No,,,Yes,60%,0,1,1,1,Somewhat Positive,No,
Clerical General,No,Yes,40.0,50.0,Unsure,,2,2,2,2,Strongly Positive,No,
Gerentes Especialistas,No,No,,,No,,2,2,2,2,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,Yes,80.0,90.0,Yes,90%,2,2,2,2,Strongly Positive,Yes,0.05
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,No,,,Unsure,,2,2,2,0,Strongly Positive,Yes,0.2
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,40.0,Yes,40%,2,2,1,1,Strongly Positive,Yes,0.2
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,30.0,30.0,Yes,20%,2,-1,1,1,Strongly Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,50.0,Yes,80%,1,1,1,2,Somewhat Positive,No,
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",Yes,Yes,50.0,50.0,Yes,50% - About half of my time,0,0,0,2,Neither positive nor negative,Yes,0.2
Gerentes Especialistas,Yes,No,,,Yes,40%,-1,1,-1,1,Somewhat Negative,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,40.0,40.0,Yes,50% - About half of my time,2,1,0,1,Somewhat Positive,No,
Gerentes Especialistas,Yes,Yes,60.0,80.0,No,,1,1,1,0,Somewhat Positive,No,
Profesionales de la Educación,Yes,Yes,10.0,100.0,Yes,50% - About half of my time,0,-2,-2,2,Somewhat Negative,Yes,0.2
Gerentes Especialistas,No,Yes,10.0,10.0,Yes,90%,-2,-2,-2,-2,Strongly Positive,No,
Gerentes Especialistas,Yes,Yes,40.0,30.0,Yes,30%,0,0,0,0,Neither positive nor negative,Yes,0.01
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,30.0,50.0,Yes,30%,1,1,1,-1,Strongly Positive,No,
Otros Clericales y Administrativos,No,Yes,10.0,10.0,Unsure,,0,-2,-2,-2,Neither positive nor negative,No,
Clerical General,Yes,No,,,Yes,10%,1,1,1,1,Strongly Positive,Yes,0.1
"Profesionales de Negocios, Recursos Humanos y Marketing",No,No,,,Yes,100% - All of my time,0,-2,-2,2,Neither positive nor negative,No,
Apoyo Clerical y de Oficina,No,No,,,No,,1,2,2,1,Strongly Positive,No,
Otros Clericales y Administrativos,No,Yes,100.0,100.0,Yes,100% - All of my time,0,0,0,0,Neither positive nor negative,No,
Gerentes Especialistas,Yes,Yes,80.0,100.0,Unsure,,1,1,1,2,Somewhat Positive,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,Yes,90.0,90.0,No,,1,1,1,1,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,20.0,Yes,30%,1,2,1,2,Strongly Positive,No,
Profesionales de la Educación,Yes,Yes,30.0,10.0,Yes,40%,-1,-1,-2,1,Strongly Negative,Yes,0.2
Oficios de Construcción,No,No,,,No,,1,1,1,1,Somewhat Positive,No,
Profesionales de la Salud,Yes,Yes,20.0,20.0,Yes,20%,1,1,1,1,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,50.0,No,,1,1,-1,-1,Neither positive nor negative,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,80.0,80.0,Unsure,,2,1,2,2,Strongly Positive,No,
Operadores de Equipos Móviles,Yes,Yes,30.0,60.0,Yes,30%,-2,0,2,-1,Neither positive nor negative,Yes,0.55
Profesionales de Tecnologías de la Información y Comunicación,No,No,,,No,,1,-2,-1,2,Somewhat Positive,No,
"Profesionales Legales, Sociales y de Bienestar",No,Yes,30.0,10.0,Yes,100% - All of my time,-2,-2,0,2,Strongly Negative,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,40.0,30.0,Yes,20%,2,1,1,1,Somewhat Positive,No,
Conductores de Carretera y Ferrocarril,No,No,,,No,,2,1,2,0,Neither positive nor negative,No,
Gerentes de Oficina y Administradores de Programas,Yes,Yes,20.0,50.0,Unsure,,1,1,2,1,Somewhat Positive,Yes,0.1
Profesionales de las Artes y los Medios,Yes,No,,,Yes,50% - About half of my time,1,1,1,1,Neither positive nor negative,No,
Profesionales de Tecnologías de la Información y Comunicación,No,Yes,90.0,20.0,No,,2,1,1,1,Somewhat Positive,No,
Oficios de Alimentación,Yes,Yes,50.0,30.0,No,,1,1,0,0,Neither positive nor negative,Yes,0.15
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,40.0,50.0,Yes,50% - About half of my time,2,1,1,2,Strongly Positive,Yes,0.5
Gerentes Especialistas,Yes,No,,,Yes,40%,1,0,1,2,Somewhat Positive,No,
Conductores de Carretera y Ferrocarril,Yes,Yes,20.0,20.0,Yes,80%,-1,1,0,-2,Somewhat Positive,Yes,0.02
Clerical General,No,No,,,No,,2,1,2,-2,Strongly Positive,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,50.0,40.0,Yes,30%,1,-2,-2,2,Strongly Positive,Yes,0.3
Apoyo Clerical y de Oficina,Yes,No,,,Yes,50% - About half of my time,1,-2,1,2,Strongly Positive,Yes,0.05
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,,,No,,0,1,0,1,Somewhat Positive,No,
Representantes y Agentes de Ventas,Yes,No,,,Yes,50% - About half of my time,1,-2,-2,-1,Somewhat Positive,No,
Gerentes Especialistas,Yes,Yes,80.0,100.0,Yes,20%,1,0,0,1,Somewhat Positive,Yes,0.1
Profesionales de la Salud,Yes,Yes,20.0,20.0,Unsure,,1,-1,1,2,Somewhat Positive,No,
