occupation_d,barrera más significativa para realizar tu trabajo de forma remota,barrera menos significativa para realizar tu trabajo de forma remota,mejor aspecto del trabajo remoto para ti,peor aspecto del trabajo remoto para ti
Profesionales de las Artes y los Medios,Equipos de IT ,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Dificultad para colaborar de forma remota,Gestión deficiente,Mi satisfacción laboral,Mis relaciones laborales
Profesionales de Tecnologías de la Información y Comunicación,Sentirse excluido y/o aislado,Falta de motivación,Gestionar mis compromisos personales,La cantidad de horas que trabajo
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Equipos de IT ,La dirección desalienta el trabajo remoto,Preparación para el trabajo y el desplazamiento,Mi equilibrio entre el trabajo y la vida personal
Gerentes de Oficina y Administradores de Programas,La dirección desalienta el trabajo remoto,Falta de motivación,Mis gastos diarios,Mis relaciones laborales
Gerentes Especialistas,Dificultad para colaborar de forma remota,Equipos de IT ,Gestionar mis compromisos personales,Mis oportunidades de socializar
"Profesionales de Negocios, Recursos Humanos y Marketing",Dificultad para colaborar de forma remota,Conectividad (conexión a internet),Gestionar mis responsabilidades familiares,Mi equilibrio entre el trabajo y la vida personal
"Profesionales Legales, Sociales y de Bienestar",Mi espacio de trabajo,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Gerentes Especialistas,Falta de motivación,Falta de motivación,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
"Profesionales de Negocios, Recursos Humanos y Marketing",Conectividad (conexión a internet),Gestión deficiente,Gestionar mis compromisos personales,Mis gastos diarios
Profesionales de la Educación,Gestión deficiente,Ciberseguridad,Mi equilibrio entre el trabajo y la vida personal,Gestionar mis compromisos personales
Asistentes Personales y Secretarias,Ciberseguridad,Tengo tareas que no se pueden realizar de forma remota,Gestionar mis responsabilidades familiares,Mis oportunidades de aprendizaje en el trabajo
Gerentes Especialistas,Tengo tareas que no se pueden realizar de forma remota,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis gastos diarios
Profesionales de la Educación,Conectividad (conexión a internet),Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Dificultad para colaborar de forma remota,Falta de motivación,Mi satisfacción laboral,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Falta de motivación,Conectividad (conexión a internet),La cantidad de horas que trabajo,Mis oportunidades de socializar
Asistentes Personales y Secretarias,Falta de motivación,Falta de motivación,Gestionar mis responsabilidades familiares,Mi satisfacción laboral
Apoyo de Salud y Bienestar,Tengo tareas que no se pueden realizar de forma remota,Sentirse excluido y/o aislado,Preparación para el trabajo y el desplazamiento,Mis oportunidades de aprendizaje en el trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Sentirse excluido y/o aislado,Falta de habilidades para trabajar de forma remota,Mi equilibrio entre el trabajo y la vida personal,Mi bienestar mental
Profesionales de Tecnologías de la Información y Comunicación,Dificultad para colaborar de forma remota,Mi situación de vida,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Falta de motivación,Sentirse excluido y/o aislado,Mis relaciones personales,Mis oportunidades de aprendizaje en el trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Conectividad (conexión a internet),Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Clerical General,Ciberseguridad,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Gerentes Especialistas,Falta de motivación,Mi espacio de trabajo,La cantidad de horas que trabajo,Mi bienestar mental
Gerentes Especialistas,Conectividad (conexión a internet),Falta de motivación,Preparación para el trabajo y el desplazamiento,Mi bienestar mental
Otros Obreros,El software y los sistemas de mi organización,Sentirse excluido y/o aislado,Mis relaciones laborales,Mis relaciones personales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Ciberseguridad,Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Gerentes Especialistas,Mi situación de vida,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Gerentes Especialistas,Mi situación de vida,Falta de habilidades para trabajar de forma remota,Gestionar mis responsabilidades familiares,La cantidad de horas que trabajo
Otros Técnicos y Oficios,Conectividad (conexión a internet),Gestión deficiente,Gestionar mis responsabilidades familiares,Mis relaciones personales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Conectividad (conexión a internet),Gestión deficiente,Mis gastos diarios,Mis oportunidades de socializar
Gerentes Especialistas,Conectividad (conexión a internet),Falta de habilidades para trabajar de forma remota,Gestionar mis responsabilidades familiares,Mis oportunidades de aprendizaje en el trabajo
Gerentes Especialistas,Equipos de IT ,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mi equilibrio entre el trabajo y la vida personal
"Profesionales de Negocios, Recursos Humanos y Marketing",Responsabilidades de cuidado,Falta de motivación,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
Oficios de Electrotecnología y Telecomunicaciones,Sentirse excluido y/o aislado,Falta de motivación,Mi bienestar mental,Mis oportunidades de aprendizaje en el trabajo
"Gerentes de Hospitalidad, Retail y Servicios",Sentirse excluido y/o aislado,Responsabilidades de cuidado,Mi bienestar mental,La cantidad de horas que trabajo
Gerentes de Oficina y Administradores de Programas,Sentirse excluido y/o aislado,Falta de motivación,Mi satisfacción laboral,Mis gastos diarios
Gerentes Especialistas,Mi espacio de trabajo,Responsabilidades de cuidado,Mis gastos diarios,La cantidad de horas que trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",La dirección desalienta el trabajo remoto,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Gerentes Especialistas,La dirección desalienta el trabajo remoto,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Asistentes y Vendedores,Falta de motivación,Ciberseguridad,Mis oportunidades de aprendizaje en el trabajo,Mi satisfacción laboral
Conductores de Carretera y Ferrocarril,Dificultad para colaborar de forma remota,Equipos de IT ,Mis relaciones laborales,La cantidad de horas que trabajo
Oficios de Electrotecnología y Telecomunicaciones,Ciberseguridad,Falta de motivación,Gestionar mis responsabilidades familiares,Gestionar mis responsabilidades familiares
"Gerentes de Hospitalidad, Retail y Servicios",Equipos de IT ,Mi espacio de trabajo,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",La dirección desalienta el trabajo remoto,Mi situación de vida,Mis oportunidades de aprendizaje en el trabajo,La cantidad de horas que trabajo
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Dificultad para colaborar de forma remota,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
"Directores Ejecutivos, Gerentes Generales y Legisladores",Conectividad (conexión a internet),Mi situación de vida,Mis relaciones laborales,Gestionar mis responsabilidades familiares
"Directores Ejecutivos, Gerentes Generales y Legisladores",Sentirse excluido y/o aislado,Conectividad (conexión a internet),Gestionar mis compromisos personales,Mis oportunidades de socializar
"Directores Ejecutivos, Gerentes Generales y Legisladores",Dificultad para colaborar de forma remota,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Representantes y Agentes de Ventas,Equipos de IT ,Sentirse excluido y/o aislado,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Conectividad (conexión a internet),Falta de habilidades para trabajar de forma remota,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Gerentes de Oficina y Administradores de Programas,Gestión deficiente,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
"Directores Ejecutivos, Gerentes Generales y Legisladores",Sentirse excluido y/o aislado,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mi bienestar mental
Profesionales de la Educación,Falta de habilidades para trabajar de forma remota,El software y los sistemas de mi organización,Mis oportunidades de socializar,Mis gastos diarios
Profesionales de las Artes y los Medios,Falta de motivación,Falta de motivación,La cantidad de horas que trabajo,Mis oportunidades de socializar
"Directores Ejecutivos, Gerentes Generales y Legisladores",Falta de motivación,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mi bienestar mental
"Directores Ejecutivos, Gerentes Generales y Legisladores",Ciberseguridad,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Profesionales de Tecnologías de la Información y Comunicación,Dificultad para colaborar de forma remota,Responsabilidades de cuidado,Mis relaciones laborales,Mi equilibrio entre el trabajo y la vida personal
"Directores Ejecutivos, Gerentes Generales y Legisladores",Falta de motivación,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Profesionales de las Artes y los Medios,Conectividad (conexión a internet),Sentirse excluido y/o aislado,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Profesionales de Tecnologías de la Información y Comunicación,Sentirse excluido y/o aislado,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Representantes y Agentes de Ventas,Mi espacio de trabajo,Falta de motivación,Mis relaciones laborales,Preparación para el trabajo y el desplazamiento
Asistentes Personales y Secretarias,Tengo tareas que no se pueden realizar de forma remota,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Profesionales de Tecnologías de la Información y Comunicación,Dificultad para colaborar de forma remota,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Otros Clericales y Administrativos,Falta de motivación,Equipos de IT ,Mis gastos diarios,Mi satisfacción laboral
"Directores Ejecutivos, Gerentes Generales y Legisladores",Dificultad para colaborar de forma remota,El software y los sistemas de mi organización,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Profesionales de Tecnologías de la Información y Comunicación,Falta de motivación,El software y los sistemas de mi organización,Mis gastos diarios,Mis oportunidades de socializar
Gerentes Especialistas,Conectividad (conexión a internet),Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Gerentes Especialistas,La dirección desalienta el trabajo remoto,Ciberseguridad,Gestionar mis compromisos personales,Mis oportunidades de socializar
"Directores Ejecutivos, Gerentes Generales y Legisladores",Mi situación de vida,Equipos de IT ,Preparación para el trabajo y el desplazamiento,Mi satisfacción laboral
Profesionales de las Artes y los Medios,Dificultad para colaborar de forma remota,Ciberseguridad,Preparación para el trabajo y el desplazamiento,Mi bienestar mental
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Conectividad (conexión a internet),Falta de motivación,Mis gastos diarios,Mis oportunidades de aprendizaje en el trabajo
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,Mi espacio de trabajo,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Gerentes Especialistas,Falta de motivación,Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Gerentes Especialistas,La dirección desalienta el trabajo remoto,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
"Profesionales Legales, Sociales y de Bienestar",Dificultad para colaborar de forma remota,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
"Profesionales Legales, Sociales y de Bienestar",Sentirse excluido y/o aislado,Equipos de IT ,Preparación para el trabajo y el desplazamiento,Mis oportunidades de aprendizaje en el trabajo
Profesionales de la Salud,Sentirse excluido y/o aislado,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Profesionales de Tecnologías de la Información y Comunicación,Sentirse excluido y/o aislado,Mi situación de vida,Gestionar mis compromisos personales,Mis relaciones laborales
Gerentes de Oficina y Administradores de Programas,Conectividad (conexión a internet),Tengo tareas que no se pueden realizar de forma remota,Mis gastos diarios,La cantidad de horas que trabajo
Profesionales de la Salud,Sentirse excluido y/o aislado,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Gerentes Especialistas,Mi situación de vida,Responsabilidades de cuidado,Gestionar mis compromisos personales,La cantidad de horas que trabajo
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Falta de motivación,Conectividad (conexión a internet),Mis oportunidades de aprendizaje en el trabajo,Gestionar mis responsabilidades familiares
Profesionales de Tecnologías de la Información y Comunicación,Sentirse excluido y/o aislado,Gestión deficiente,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Representantes y Agentes de Ventas,Sentirse excluido y/o aislado,La dirección desalienta el trabajo remoto,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones personales
Profesionales de la Educación,Sentirse excluido y/o aislado,Mi situación de vida,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Representantes y Agentes de Ventas,Falta de motivación,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Profesionales de Tecnologías de la Información y Comunicación,Dificultad para colaborar de forma remota,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Gerentes Especialistas,Equipos de IT ,Mi espacio de trabajo,Preparación para el trabajo y el desplazamiento,Mis relaciones personales
"Profesionales Legales, Sociales y de Bienestar",Falta de motivación,Dificultad para colaborar de forma remota,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",Gestión deficiente,Gestión deficiente,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Profesionales de Negocios, Recursos Humanos y Marketing",Ciberseguridad,Mi situación de vida,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Profesionales de la Educación,Conectividad (conexión a internet),Dificultad para colaborar de forma remota,Gestionar mis responsabilidades familiares,Mis relaciones laborales
Otros Clericales y Administrativos,Conectividad (conexión a internet),Falta de motivación,Mis gastos diarios,Mis oportunidades de socializar
Gerentes Especialistas,Equipos de IT ,La dirección desalienta el trabajo remoto,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Asistentes Personales y Secretarias,Equipos de IT ,Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,Gestionar mis responsabilidades familiares
Profesionales de la Educación,Mi situación de vida,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
"Profesionales de Negocios, Recursos Humanos y Marketing",Falta de motivación,La dirección desalienta el trabajo remoto,Preparación para el trabajo y el desplazamiento,Mi bienestar mental
"Directores Ejecutivos, Gerentes Generales y Legisladores",Mi situación de vida,Gestión deficiente,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Profesionales de la Educación,Tengo tareas que no se pueden realizar de forma remota,Sentirse excluido y/o aislado,Mi bienestar mental,Mis gastos diarios
"Gerentes de Hospitalidad, Retail y Servicios",Dificultad para colaborar de forma remota,Conectividad (conexión a internet),Mis gastos diarios,Mis oportunidades de aprendizaje en el trabajo
Profesionales de Tecnologías de la Información y Comunicación,Falta de motivación,Equipos de IT ,Preparación para el trabajo y el desplazamiento,Mis gastos diarios
Otros Clericales y Administrativos,Conectividad (conexión a internet),Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones personales
"Gerentes de Hospitalidad, Retail y Servicios",Dificultad para colaborar de forma remota,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Profesionales de la Educación,Falta de habilidades para trabajar de forma remota,Responsabilidades de cuidado,Mi satisfacción laboral,Mis oportunidades de socializar
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",La dirección desalienta el trabajo remoto,Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones personales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Mi situación de vida,Falta de habilidades para trabajar de forma remota,Mi satisfacción laboral,Mis relaciones laborales
Profesionales de la Educación,Conectividad (conexión a internet),La dirección desalienta el trabajo remoto,Mis gastos diarios,Mis oportunidades de socializar
"Gerentes de Hospitalidad, Retail y Servicios",Ciberseguridad,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
"Profesionales de Negocios, Recursos Humanos y Marketing",Equipos de IT ,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
Gerentes Especialistas,Sentirse excluido y/o aislado,Conectividad (conexión a internet),Gestionar mis responsabilidades familiares,Mi satisfacción laboral
Clerical General,La dirección desalienta el trabajo remoto,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,La dirección desalienta el trabajo remoto,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
"Profesionales de Negocios, Recursos Humanos y Marketing",Falta de motivación,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Gerentes Especialistas,Equipos de IT ,Sentirse excluido y/o aislado,Mis oportunidades de aprendizaje en el trabajo,Mi satisfacción laboral
Profesionales de Tecnologías de la Información y Comunicación,Gestión deficiente,Tengo tareas que no se pueden realizar de forma remota,Mi bienestar mental,Mis relaciones laborales
Gerentes Especialistas,Mi espacio de trabajo,Gestión deficiente,Mi equilibrio entre el trabajo y la vida personal,Mis gastos diarios
Profesionales de Tecnologías de la Información y Comunicación,Dificultad para colaborar de forma remota,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Profesionales de la Salud,Conectividad (conexión a internet),Ciberseguridad,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
Gerentes Especialistas,Dificultad para colaborar de forma remota,Responsabilidades de cuidado,Mis gastos diarios,La cantidad de horas que trabajo
Soporte de Ventas,Responsabilidades de cuidado,Gestión deficiente,Mis oportunidades de aprendizaje en el trabajo,Mis oportunidades de socializar
"Directores Ejecutivos, Gerentes Generales y Legisladores",Gestión deficiente,Tengo tareas que no se pueden realizar de forma remota,Mi satisfacción laboral,Mis relaciones laborales
Gerentes Especialistas,Responsabilidades de cuidado,Falta de motivación,Gestionar mis responsabilidades familiares,Mis gastos diarios
Asistentes Personales y Secretarias,Sentirse excluido y/o aislado,Equipos de IT ,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Operadores de Máquinas y Plantas Estacionarias,Gestión deficiente,Falta de motivación,Mi bienestar mental,Mis gastos diarios
Otros Clericales y Administrativos,Sentirse excluido y/o aislado,Conectividad (conexión a internet),Gestionar mis compromisos personales,Mis oportunidades de socializar
Representantes y Agentes de Ventas,Mi situación de vida,Sentirse excluido y/o aislado,Mis gastos diarios,Mi equilibrio entre el trabajo y la vida personal
"Directores Ejecutivos, Gerentes Generales y Legisladores",Sentirse excluido y/o aislado,Gestión deficiente,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Asistentes Personales y Secretarias,Responsabilidades de cuidado,Equipos de IT ,Mis gastos diarios,Mi equilibrio entre el trabajo y la vida personal
Profesionales de la Educación,Falta de motivación,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis oportunidades de aprendizaje en el trabajo
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Dificultad para colaborar de forma remota,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
"Profesionales de Negocios, Recursos Humanos y Marketing",Dificultad para colaborar de forma remota,Mi situación de vida,Gestionar mis responsabilidades familiares,Preparación para el trabajo y el desplazamiento
Representantes y Agentes de Ventas,Equipos de IT ,Dificultad para colaborar de forma remota,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Gerentes Especialistas,Sentirse excluido y/o aislado,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Falta de motivación,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mi satisfacción laboral
Profesionales de la Salud,Equipos de IT ,Responsabilidades de cuidado,Gestionar mis responsabilidades familiares,Mis gastos diarios
"Profesionales de Negocios, Recursos Humanos y Marketing",Gestión deficiente,Falta de motivación,Gestionar mis compromisos personales,Mis relaciones laborales
Gerentes Especialistas,Sentirse excluido y/o aislado,Mi espacio de trabajo,Preparación para el trabajo y el desplazamiento,Mi bienestar mental
"Directores Ejecutivos, Gerentes Generales y Legisladores",Conectividad (conexión a internet),Equipos de IT ,La cantidad de horas que trabajo,Gestionar mis compromisos personales
Gerentes Especialistas,Equipos de IT ,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Profesionales de Tecnologías de la Información y Comunicación,Conectividad (conexión a internet),Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Gerentes Especialistas,La dirección desalienta el trabajo remoto,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Gerentes Especialistas,Falta de motivación,Falta de motivación,La cantidad de horas que trabajo,Mis relaciones laborales
Apoyo Clerical y de Oficina,Sentirse excluido y/o aislado,Conectividad (conexión a internet),Gestionar mis responsabilidades familiares,Mis relaciones laborales
Asistentes y Vendedores,La dirección desalienta el trabajo remoto,Sentirse excluido y/o aislado,Mis relaciones personales,La cantidad de horas que trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Responsabilidades de cuidado,Sentirse excluido y/o aislado,Preparación para el trabajo y el desplazamiento,Gestionar mis responsabilidades familiares
Profesionales de la Salud,Conectividad (conexión a internet),Gestión deficiente,Mis relaciones laborales,Gestionar mis responsabilidades familiares
Profesionales de las Artes y los Medios,Mi situación de vida,Falta de motivación,Mis gastos diarios,Mis relaciones laborales
Gerentes Especialistas,Mi espacio de trabajo,Gestión deficiente,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Gerentes de Oficina y Administradores de Programas,Falta de motivación,Falta de motivación,Mi satisfacción laboral,Mis oportunidades de socializar
Otros Clericales y Administrativos,La dirección desalienta el trabajo remoto,Falta de motivación,Mi bienestar mental,Mis oportunidades de aprendizaje en el trabajo
Cuidadores y Asistentes,Mi situación de vida,Falta de motivación,Mis oportunidades de aprendizaje en el trabajo,Gestionar mis responsabilidades familiares
Representantes y Agentes de Ventas,Conectividad (conexión a internet),Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Gerentes Especialistas,Responsabilidades de cuidado,Gestión deficiente,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Sentirse excluido y/o aislado,Gestión deficiente,Mi satisfacción laboral,Mi equilibrio entre el trabajo y la vida personal
"Profesionales de Negocios, Recursos Humanos y Marketing",Equipos de IT ,Mi espacio de trabajo,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
"Profesionales de Negocios, Recursos Humanos y Marketing",Equipos de IT ,Dificultad para colaborar de forma remota,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Gerentes Especialistas,La dirección desalienta el trabajo remoto,Equipos de IT ,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Profesionales de Tecnologías de la Información y Comunicación,Dificultad para colaborar de forma remota,Mi situación de vida,Mis gastos diarios,Mis oportunidades de socializar
"Profesionales de Negocios, Recursos Humanos y Marketing",Falta de motivación,Conectividad (conexión a internet),Mis gastos diarios,Mis oportunidades de aprendizaje en el trabajo
Gerentes Especialistas,Gestión deficiente,Sentirse excluido y/o aislado,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Soporte de Ventas,Falta de motivación,Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,La dirección desalienta el trabajo remoto,Gestionar mis compromisos personales,Mis relaciones laborales
Profesionales de la Salud,Responsabilidades de cuidado,Sentirse excluido y/o aislado,Preparación para el trabajo y el desplazamiento,Gestionar mis responsabilidades familiares
Representantes y Agentes de Ventas,Equipos de IT ,Mi espacio de trabajo,Gestionar mis responsabilidades familiares,Mis relaciones personales
Asistentes Personales y Secretarias,Tengo tareas que no se pueden realizar de forma remota,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Profesionales de la Educación,Equipos de IT ,Gestión deficiente,Preparación para el trabajo y el desplazamiento,Gestionar mis responsabilidades familiares
Clerical General,La dirección desalienta el trabajo remoto,Falta de habilidades para trabajar de forma remota,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Gerentes Especialistas,Sentirse excluido y/o aislado,Responsabilidades de cuidado,Mi bienestar mental,Mis oportunidades de socializar
Apoyo de Salud y Bienestar,Sentirse excluido y/o aislado,Responsabilidades de cuidado,Gestionar mis responsabilidades familiares,Mi bienestar mental
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,Conectividad (conexión a internet),Mis oportunidades de socializar,Gestionar mis compromisos personales
Profesionales de las Artes y los Medios,Conectividad (conexión a internet),Ciberseguridad,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Gerentes Especialistas,Equipos de IT ,Falta de motivación,Mis gastos diarios,Mis relaciones laborales
Gerentes Especialistas,Sentirse excluido y/o aislado,Mi situación de vida,Gestionar mis compromisos personales,Mis relaciones laborales
"Profesionales de Negocios, Recursos Humanos y Marketing",Equipos de IT ,Tengo tareas que no se pueden realizar de forma remota,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
"Gerentes de Hospitalidad, Retail y Servicios",Equipos de IT ,Gestión deficiente,Mis gastos diarios,La cantidad de horas que trabajo
Apoyo Clerical y de Oficina,Gestión deficiente,Responsabilidades de cuidado,Mi satisfacción laboral,Mis relaciones laborales
Profesionales de la Salud,Equipos de IT ,La dirección desalienta el trabajo remoto,Mi bienestar mental,La cantidad de horas que trabajo
Profesionales de la Salud,Falta de motivación,Equipos de IT ,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
"Profesionales Legales, Sociales y de Bienestar",Dificultad para colaborar de forma remota,Sentirse excluido y/o aislado,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
Profesionales de Tecnologías de la Información y Comunicación,Falta de motivación,Gestión deficiente,Preparación para el trabajo y el desplazamiento,Mi equilibrio entre el trabajo y la vida personal
"Profesionales de Negocios, Recursos Humanos y Marketing",Conectividad (conexión a internet),Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Profesionales de Tecnologías de la Información y Comunicación,El software y los sistemas de mi organización,Falta de motivación,Mis relaciones laborales,La cantidad de horas que trabajo
Profesionales de la Salud,Mi situación de vida,Dificultad para colaborar de forma remota,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Responsabilidades de cuidado,Equipos de IT ,Preparación para el trabajo y el desplazamiento,Gestionar mis compromisos personales
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,Falta de motivación,Mis gastos diarios,Mi bienestar mental
Gerentes de Oficina y Administradores de Programas,Falta de motivación,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
